---------------------------------------------------------------------------------------------------------------------------
 Mult. |          Configurations           |     Terms    |       Ei           Ek       | gi   gk |    Aki    | Acc. |Type|
  No.  |                                   |              |     (cm-1)       (cm-1)     |         |    s^-1   |      |    |
       |                                   |              |                             |         |           |      |    |
---------------------------------------------------------------------------------------------------------------------------
    31 |                                   |   2D* - 2F   |  19227.949   -  104850.926  | 10 - 14 | 1.04e+08  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19233.177   -  104810.360  |  4 - 6  | 9.32e+07  | A    |    |
       |                                   |              |  19224.464   -  104810.360  |  6 - 6  | 3.38e+06  | A    |    |
       |                                   |              |  19224.464   -  104881.350  |  6 - 8  | 1.10e+08  | A    |    |
       |                                   |              |                             |         |           |      |    |
    32 |                                   |   2D* - 4P   |  19227.949   -  104846.82   | 10 - 12 | 6.9e+06   |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19233.177   -  104825.110  |  4 - 6  | 1.24e+07  | B+   |    |
       |                                   |              |  19224.464   -  104825.110  |  6 - 6  | 1.30e+06  | B+   |    |
       |                                   |              |  19233.177   -  104859.73   |  4 - 4  | 7.03e+04  | B+   |    |
       |                                   |              |  19224.464   -  104859.73   |  6 - 4  | 1.17e+04  | C    |    |
       |                                   |              |  19233.177   -  104886.10   |  4 - 2  | 5.0e+02   | E    |    |
       |                                   |              |                             |         |           |      |    |
    33 |                                   |   2D* - 4D   |  19227.949   -  105007.3    | 10 - 20 | 7.8e+05   |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19224.464   -  105017.600  |  6 - 8  | 1.69e+06  | B    |    |
       |                                   |              |  19233.177   -  105008.55   |  4 - 6  | 1.99e+05  | B    |    |
       |                                   |              |  19224.464   -  105008.55   |  6 - 6  | 8.31e+04  | B    |    |
       |                                   |              |  19233.177   -  104996.27   |  4 - 4  | 6.79e+04  | B    |    |
       |                                   |              |  19224.464   -  104996.27   |  6 - 4  | 2.43e+04  | B    |    |
       |                                   |              |  19233.177   -  104984.37   |  4 - 2  | 8.4e+03   | C    |    |
       |                                   |              |                             |         |           |      |    |
    34 |                                   |   2D* - 2D   |  19227.949   -  105134.178  | 10 - 10 | 3.21e+07  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19233.177   -  105143.710  |  4 - 6  | 2.53e+05  | B    |    |
       |                                   |              |  19233.177   -  105119.880  |  4 - 4  | 2.82e+07  | B    |    |
       |                                   |              |  19224.464   -  105119.880  |  6 - 4  | 2.98e+06  | B    |    |
       |                                   |              |  19224.464   -  105143.710  |  6 - 6  | 3.25e+07  | B    |    |
       |                                   |              |                             |         |           |      |    |
    35 |         2s2.2p3 - 2s2.2p2.(3P).5s |   2D* - 2P   |  19227.949   -  110081.129  | 10 - 6  | 4.00e+07  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19224.464   -  110103.834  |  6 - 4  | 3.60e+07  | D+   |    |
       |                                   |              |  19233.177   -  110103.834  |  4 - 4  | 4.00e+06  | D+   |    |
       |                                   |              |  19233.177   -  110035.720  |  4 - 2  | 3.99e+07  | D+   |    |
       |                                   |              |                             |         |           |      |    |
    36 |         2s2.2p3 - 2s2.2p2.(3P).4d |   2D* - 2F   |  19227.949   -  110329.823  | 10 - 14 | 6.34e+07  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19224.464   -  110286.305  |  6 - 6  | 4.23e+06  | C    |    |
       |                                   |              |  19224.464   -  110362.462  |  6 - 8  | 6.35e+07  | C    |    |
       |                                   |              |  19233.177   -  110286.305  |  4 - 6  | 5.91e+07  | C    |    |
       |                                   |              |                             |         |           |      |    |
    37 |         2s2.2p3 - 2s2.2p2.(3P).5d |   2D* - 2F   |  19227.949   -  112857.501  | 10 - 14 | 3.52e+07  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19224.464   -  112812.518  |  6 - 6  | 2.34e+06  | D+   |    |
       |                                   |              |  19224.464   -  112891.238  |  6 - 8  | 3.53e+07  | C    |    |
       |                                   |              |  19233.177   -  112812.518  |  4 - 6  | 3.28e+07  | C    |    |
       |                                   |              |                             |         |           |      |    |
    38 |         2s2.2p3 - 2s2.2p2.(1D).4s |   2D* - 2D   |  19227.949   -  119210      | 10 - 10 | 4.00e+07  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19233.177   -  119210.0    |  4 - 6  | 2.72e+06  | C    |    |
       |                                   |              |  19224.464   -  119210.0    |  6 - 4  | 3.92e+06  | C    |    |
       |                                   |              |  19233.177   -  119210.0    |  4 - 4  | 3.62e+07  | C+   |    |
       |                                   |              |  19224.464   -  119210.0    |  6 - 6  | 3.72e+07  | C+   |    |
       |                                   |              |                             |         |           |      |    |
    39 |         2s2.2p3 - 2s2.2p2.(1D).3d |   2D* - 2D   |  19227.949   -  120152.4    | 10 - 10 | 2.51e+08  |      |    |
       |                                   |              |                             |         |           |      |    |
