-----------------------------------------------------------------------
Configuration          | Term      |   J |                   Level    |
2s2.2p5.(2P*<3/2>).9s  | 2[3/2]*   |   2 |             172071.389     |
                       |           |   1 |             172080.915     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).8d  | 2[1/2]*   |   0 |             172200.33      |
                       |           |   1 |             172201.878     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).8d  | 2[7/2]*   |   4 |             172205.113     |
                       |           |   3 |             172205.272     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).8d  | 2[3/2]*   |   2 |             172206.770     |
                       |           |   1 |             172209.15      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).8d  | 2[5/2]*   |   2 |             172211.107     |
                       |           |   3 |             172211.266     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).8f  | 2[3/2]    |   2 |             172212.66      |
                       |           |   1 |             172212.76      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).8f  | 2[9/2]    |   5 |             172213.57      |
                       |           |   4 |             172213.58      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).8f  | 2[7/2]    |   4 |             172215.58      |
                       |           |   3 |             172215.80      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).8s  | 2[1/2]*   |   0 |             172254.295     |
                       |           |   1 |             172261.741     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).9p  | 2[5/2]    |   3 |             172282.2       |
                       |           |   2 |             172287.066     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).9p  | 2[3/2]    |   1 |             172291.2       |
                       |           |   2 |             172292.0       |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).9p  | 2[1/2]    |   0 |             172327.358     |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).7d  | 2[3/2]*   |   2 |             172457.823     |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).7d  | 2[5/2]*   |   2 |             172458.427     |
                       |           |   3 |             172458.613     |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).7d  | 2[3/2]*   |   1 |             172460.966     |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).7f  | 2[7/2]    |   3 |             172469.448     |
                       |           |   4 |             172469.450     |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).7f  | 2[5/2]    |   3 |             172469.452     |
                       |           |   2 |             172469.455     |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).7g  | 2[9/2]*   |   4 |             172470.364     |
                       |           |   5 |             172470.373     |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).7g  | 2[7/2]*   |   4 |             172470.404     |
                       |           |   3 |             172470.416     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).10s | 2[3/2]*   |   2 |             172475.321     |
                       |           |   1 |             172481.8376    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).8p  | 2[1/2]    |   1 |             172562.8       |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).9d  | 2[1/2]*   |   0 |             172564.88      |
                       |           |   1 |             172565.93      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).9d  | 2[7/2]*   |   4 |             172567.857     |
                       |           |   3 |             172568.083     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).9d  | 2[3/2]*   |   2 |             172569.40      |
                       |           |   1 |             172570.83      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).9d  | 2[5/2]*   |   2 |             172572.12      |
                       |           |   3 |             172572.22      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).8p  | 2[3/2]    |   2 |             172573.1       |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).9f  | 2[9/2]    |   5 |             172573.80      |
                       |           |   4 |             172573.86      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).9f  | 2[5/2]    |   2 |             172574.82      |
                       |           |   3 |             172574.82      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).9f  | 2[7/2]    |   3 |             172575.36      |
                       |           |   4 |             172575.36      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).8p  | 2[1/2]    |   0 |             172599.8       |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).10p | 2[1/2]    |   1 |             172619.2       |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).10p | 2[5/2]    |   3 |             172623.2       |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).10p | 2[3/2]    |   1 |             172630.1       |
                       |           |   2 |             172630.4       |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).10p | 2[1/2]    |   0 |             172665.1       |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).11s | 2[3/2]*   |   2 |             172759.82      |
                       |           |   1 |             172764.60      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).10d | 2[1/2]*   |   0 |             172824.57      |
                       |           |   1 |             172825.54      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).10d | 2[7/2]*   |   4 |             172827.13      |
                       |           |   3 |             172827.35      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).10d | 2[3/2]*   |   2 |             172827.93      |
                       |           |   1 |             172829.30      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).10d | 2[5/2]*   |   2 |             172830.20      |
                       |           |   3 |             172830.25      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).9s  | 2[1/2]*   |   0 |             172852.13      |
                       |           |   1 |             172857.00      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).11p | 2[3/2]    |   1 |             172871.9       |
                       |           |   2 |             172871.9       |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).12s | 2[3/2]*   |   2 |             172968.51      |
                       |           |   1 |             172972.289     |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).8d  | 2[3/2]*   |   2 |             172987.07      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).8d  | 2[5/2]*   |   2 |             172987.204     |
                       |           |   3 |             172987.283     |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).8d  | 2[3/2]*   |   1 |             172988.99      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).8f  | 2[7/2]    |   4 |             172994.59      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).8f  | 2[5/2]    |   3 |             172994.61      |
                       |           |   2 |             172994.61      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).8f  | 2[7/2]    |   3 |             172994.71      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).11d | 2[1/2]*   |   0 |             173017.39      |
                       |           |   1 |             173017.98      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).11d | 2[7/2]*   |   3 |             173018.85      |
                       |           |   4 |             173018.89      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).11d | 2[3/2]*   |   2 |             173020.06      |
                       |           |   1 |             173020.89      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).11d | 2[5/2]*   |   2 |             173020.96      |
                       |           |   3 |             173021.29      |
                       |           |     |                            |
