----------------------------------------------------------------------------------------------------------------------------------
 Mult. |           Configurations                 |     Terms    |       Ei           Ek       | gi   gk |    Aki    | Acc. |Type|
  No.  |                                          |              |     (cm-1)       (cm-1)     |         |    s^-1   |      |    |
       |                                          |              |                             |         |           |      |    |
----------------------------------------------------------------------------------------------------------------------------------
       |                                          |              |      0.000   -  107582.777  |  5 - 5  | 2.66e+06  | C    |    |
       |                                          |              |    158.265   -  107582.777  |  3 - 3  | 4.42e+06  | C    |    |
       |                                          |              |      0.000   -  107582.777  |  5 - 3  | 2.96e+05  | D    |    |
       |                                          |              |                             |         |           |      |    |
    18 |          2s2.2p4 - 2s2.2p3.(4S*).8d      |   3P  - 3D*  |     77.975   -  108114      |  9 - 15 | 7.21e+06  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  108114.0    |  5 - 7  | 7.22e+06  | C    |    |
       |                                          |              |    158.265   -  108114.0    |  3 - 5  | 5.39e+06  | C    |    |
       |                                          |              |    226.977   -  108114.0    |  1 - 3  | 3.99e+06  | C    |    |
       |                                          |              |      0.000   -  108114.0    |  5 - 5  | 1.81e+06  | C    |    |
       |                                          |              |    158.265   -  108114.0    |  3 - 3  | 3.00e+06  | C    |    |
       |                                          |              |      0.000   -  108114.0    |  5 - 3  | 2.01e+05  | D    |    |
       |                                          |              |                             |         |           |      |    |
    19 |          2s2.2p4 - 2s2.2p3.(2P*).3s      |   3P  - 3P*  |     77.975   -  113916.277  |  9 - 9  | 6.82e+08  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  113910.957  |  5 - 5  | 5.12e+08  | C+   |    |
       |                                          |              |    158.265   -  113921.391  |  3 - 3  | 1.70e+08  | C+   |    |
       |                                          |              |      0.000   -  113921.391  |  5 - 3  | 2.85e+08  | C+   |    |
       |                                          |              |    158.265   -  113927.534  |  3 - 1  | 6.81e+08  | C+   |    |
       |                                          |              |    158.265   -  113910.957  |  3 - 5  | 1.70e+08  | C+   |    |
       |                                          |              |    226.977   -  113921.391  |  1 - 3  | 2.26e+08  | C+   |    |
       |                                          |              |                             |         |           |      |    |
    20 |          2s2.2p4 - 2s2.2p3.(2D*).4s      |   3P  - 3D*  |     77.975   -  122428.5    |  9 - 15 | 5.88e+07  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  122419.7    |  5 - 7  | 5.89e+07  | B    |    |
       |                                          |              |    158.265   -  122433.2    |  3 - 5  | 4.40e+07  | B    |    |
       |                                          |              |    226.977   -  122441.0    |  1 - 3  | 3.25e+07  | C+   |    |
       |                                          |              |      0.000   -  122433.2    |  5 - 5  | 1.47e+07  | C+   |    |
       |                                          |              |    158.265   -  122441.0    |  3 - 3  | 2.44e+07  | C+   |    |
       |                                          |              |      0.000   -  122441.0    |  5 - 3  | 1.63e+06  | C    |    |
       |                                          |              |                             |         |           |      |    |
    21 |          2s2.2p4 - 2s2.2p3.(2D*<3/2>).3d |   3P  - 3P*  |     77.975   -  123326.418  |  9 - 9  | 3.28e+07  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  123296.777  |  5 - 5  | 2.46e+07  | C    |    |
       |                                          |              |    158.265   -  123355.512  |  3 - 3  | 8.17e+06  | D    |    |
       |                                          |              |      0.000   -  123355.512  |  5 - 3  | 1.37e+07  | D    |    |
       |                                          |              |    158.265   -  123387.339  |  3 - 1  | 3.27e+07  | D    |    |
       |                                          |              |    158.265   -  123296.777  |  3 - 5  | 8.15e+06  | D    |    |
       |                                          |              |    226.977   -  123355.512  |  1 - 3  | 1.09e+07  | D    |    |
       |                                          |              |                             |         |           |      |    |
    22 |          2s2.2p4 - 2s2.2p3.(2D*<5/2>).3d |   3P  - 3D*  |     77.975   -  124254      |  9 - 15 | 4.41e+07  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  124247.1    |  5 - 7  | 4.47e+07  | B    |    |
       |                                          |              |    158.265   -  124257.7    |  3 - 5  | 3.29e+07  | B    |    |
       |                                          |              |    226.977   -  124264.0    |  1 - 3  | 2.40e+07  | C+   |    |
       |                                          |              |      0.000   -  124257.7    |  5 - 5  | 1.10e+07  | C+   |    |
       |                                          |              |    158.265   -  124264.0    |  3 - 3  | 1.80e+07  | C+   |    |
       |                                          |              |      0.000   -  124264.0    |  5 - 3  | 1.21e+06  | D    |    |
       |                                          |              |                             |         |           |      |    |
    23 |          2s2.2p4 - 2s2.2p3.(2D*<3/2>).3d |   3P  - 3S*  |     77.975   -  124336.3    |  9 - 3  | 1.26e+08  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  124336.3    |  5 - 3  | 7.02e+07  | C    |    |
       |                                          |              |    158.265   -  124336.3    |  3 - 3  | 4.21e+07  | C    |    |
       |                                          |              |    226.977   -  124336.3    |  1 - 3  | 1.40e+07  | C    |    |
       |                                          |              |                             |         |           |      |    |
    24 |          2s2.2p4 - 2s.2p5                |   3P  - 3P*  |     77.975   -  126304.323  |  9 - 9  | 6.58e+08  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  126266.896  |  5 - 5  | 4.94e+08  | B    |    |
