------------------------------------------------------------------
Configuration      | Term     |    J |                  Level    |
                   |          |  5/2 |             142081.91+x   |
                   |          |  7/2 |             142084.13+x   |
                   |          |      |                           |
2s.2p3.(5S*).3p    | 4P       |  1/2 |             144360        |
                   |          |  3/2 |             144360        |
                   |          |  5/2 |             144360        |
                   |          |      |                           |
2s.2p3.(5S*).4p    | 4P       |  5/2 |             154439        |
                   |          |  1/2 |             154439        |
                   |          |  3/2 |             154439        |
                   |          |      |                           |
2s.2p3.(5S*).5p    | 4P       |  5/2 |             158322        |
                   |          |  3/2 |             158322        |
                   |          |  1/2 |             158322        |
                   |          |      |                           |
2s.2p3.(5S*).6p    | 4P       |  5/2 |             160241        |
                   |          |  3/2 |             160241        |
                   |          |  1/2 |             160241        |
                   |          |      |                           |
2s.2p3.(5S*).7p    | 4P       |  5/2 |             161330        |
                   |          |  1/2 |             161330        |
                   |          |  3/2 |             161330        |
                   |          |      |                           |
2s.2p3.(5S*).8p    | 4P       |  1/2 |             162005        |
                   |          |  3/2 |             162005        |
                   |          |  5/2 |             162005        |
                   |          |      |                           |
2s.2p3.(5S*).9p    | 4P       |  5/2 |            [162436]       |
                   |          |  3/2 |            [162436]       |
                   |          |  1/2 |            [162436]       |
                   |          |      |                           |
2s.2p3.(5S*).10p   | 4P       |  5/2 |             162770        |
                   |          |  3/2 |             162770        |
                   |          |  1/2 |             162770        |
                   |          |      |                           |
2s.2p3.(5S*).11p   | 4P       |  5/2 |             162999        |
                   |          |  3/2 |             162999        |
                   |          |  1/2 |             162999        |
                   |          |      |                           |
2s.2p3.(5S*).12p   | 4P       |  1/2 |             163163        |
                   |          |  3/2 |             163163        |
                   |          |  5/2 |             163163        |
                   |          |      |                           |
2s.2p3.(5S*).13p   | 4P       |  1/2 |             163298        |
                   |          |  3/2 |             163298        |
                   |          |  5/2 |             163298        |
                   |          |      |                           |
2s.2p3.(5S*).14p   | 4P       |  3/2 |             163399        |
                   |          |  1/2 |             163399        |
                   |          |  5/2 |             163399        |
------------------------------------------------------------------
