# eta f fd fdd g gd y p T rho u
1.753507 0.713442 0.773821 0.307787 1.489266 -0.364673 0.001230 1013.000000 446.779715 0.007897 1075.610838
1.763527 0.721211 0.776891 0.305113 1.485602 -0.366611 0.001238 1013.000000 445.680564 0.007917 1079.879035
1.773547 0.729011 0.779935 0.302435 1.481919 -0.368439 0.001245 1013.000000 444.575753 0.007937 1084.109958
1.783567 0.736841 0.782952 0.299756 1.478219 -0.370159 0.001252 1013.000000 443.465607 0.007956 1088.303577
1.793587 0.744701 0.785942 0.297075 1.474502 -0.371773 0.001259 1013.000000 442.350452 0.007976 1092.459866
1.803607 0.752591 0.788906 0.294393 1.470769 -0.373280 0.001266 1013.000000 441.230607 0.007997 1096.578804
1.813627 0.760511 0.791842 0.291710 1.467021 -0.374683 0.001273 1013.000000 440.106389 0.008017 1100.660381
1.823647 0.768460 0.794752 0.289027 1.463260 -0.375982 0.001280 1013.000000 438.978110 0.008038 1104.704589
1.833667 0.776438 0.797634 0.286344 1.459487 -0.377178 0.001287 1013.000000 437.846081 0.008059 1108.711431
1.843687 0.784444 0.800490 0.283662 1.455702 -0.378274 0.001294 1013.000000 436.710607 0.008079 1112.680912
1.853707 0.792480 0.803319 0.280981 1.451907 -0.379270 0.001301 1013.000000 435.571990 0.008101 1116.613047
1.863727 0.800543 0.806121 0.278302 1.448102 -0.380167 0.001307 1013.000000 434.430527 0.008122 1120.507855
1.873747 0.808634 0.808896 0.275625 1.444288 -0.380967 0.001314 1013.000000 433.286514 0.008143 1124.365364
1.883768 0.816753 0.811644 0.272951 1.440467 -0.381671 0.001321 1013.000000 432.140241 0.008165 1128.185605
1.893788 0.824900 0.814366 0.270279 1.436640 -0.382281 0.001328 1013.000000 430.991993 0.008187 1131.968616
1.903808 0.833073 0.817061 0.267611 1.432807 -0.382797 0.001335 1013.000000 429.842053 0.008209 1135.714443
1.913828 0.841273 0.819729 0.264947 1.428969 -0.383222 0.001342 1013.000000 428.690698 0.008231 1139.423137
1.923848 0.849500 0.822370 0.262287 1.425127 -0.383556 0.001348 1013.000000 427.538203 0.008253 1143.094753
1.933868 0.857754 0.824985 0.259632 1.421283 -0.383802 0.001355 1013.000000 426.384836 0.008275 1146.729355
1.943888 0.866033 0.827573 0.256982 1.417436 -0.383960 0.001362 1013.000000 425.230864 0.008298 1150.327011
1.953908 0.874338 0.830135 0.254337 1.413588 -0.384031 0.001369 1013.000000 424.076547 0.008320 1153.887794
1.963928 0.882669 0.832670 0.251699 1.409740 -0.384018 0.001375 1013.000000 422.922143 0.008343 1157.411784
1.973948 0.891025 0.835179 0.249066 1.405893 -0.383922 0.001382 1013.000000 421.767902 0.008366 1160.899066
1.983968 0.899406 0.837662 0.246441 1.402047 -0.383744 0.001389 1013.000000 420.614075 0.008389 1164.349731
1.993988 0.907812 0.840118 0.243822 1.398203 -0.383486 0.001396 1013.000000 419.460903 0.008412 1167.763875
