-------------------------------------------------------------------------------------------------------------------------------------
 Mult. |             Configurations              |      Terms     |        Ei           Ek        | gi   gk |    Aki    | Acc. |Type|
  No.  |                                         |                |      (cm-1)       (cm-1)      |         |    s^-1   |      |    |
       |                                         |                |                               |         |           |      |    |
-------------------------------------------------------------------------------------------------------------------------------------
       |                                         |                | 132630.7277   -  159393.3850  |  4 - 4  | 3.e+05    | C+   |    |
       |                                         |                | 132737.7039   -  159393.3850  |  2 - 4  | 1.e+05    | D    |    |
       |                                         |                | 132327.3616   -  158730.2995  |  8 - 6  | 1.5e+06   | B    |    |
       |                                         |                | 132481.2068   -  158730.2995  |  6 - 6  | 1.0e+06   | C    |    |
       |                                         |                | 132630.7277   -  158730.2995  |  4 - 6  | 4.e+05    | D    |    |
       |                                         |                |                               |         |           |      |    |
    49 |                                         |    4D  - 2P*   | 132573.7966   -  160061.7966  | 20 - 6  | 2.e+05    |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 132481.2068   -  160239.4280  |  6 - 4  | 2.e+05    | C    |    |
       |                                         |                | 132630.7277   -  160239.4280  |  4 - 4  |           |      |    |
       |                                         |                | 132737.7039   -  160239.4280  |  2 - 4  |           |      |    |
       |                                         |                | 132630.7277   -  159706.5337  |  4 - 2  |           |      |    |
       |                                         |                | 132737.7039   -  159706.5337  |  2 - 2  | 2.e+05    | C    |    |
       |                                         |                |                               |         |           |      |    |
    50 |                                         |    4D  - 4S*   | 132573.7966   -  161048.7411  | 20 - 4  | 4.e+05    |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 132481.2068   -  161048.7411  |  6 - 4  | 3.e+05    | C+   |    |
       |                                         |                | 132630.7277   -  161048.7411  |  4 - 4  | 7.e+04    | E    |    |
       |                                         |                | 132737.7039   -  161048.7411  |  2 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    51 |    3s2.3p4.(3P).3d - 3s2.3p4.(1D).4p    |    4D  - 2F*   |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 132327.3616   -  170530.4040  |  8 - 8  |           |      |    |
       |                                         |                | 132327.3616   -  170401.0170  |  8 - 6  |           |      |    |
       |                                         |                | 132481.2068   -  170401.0170  |  6 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    52 |                                         |    4D  - 2D*   |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 132327.3616   -  173393.4658  |  8 - 6  |           |      |    |
       |                                         |                | 132481.2068   -  173393.4658  |  6 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    53 |    3s2.3p4.(3P).3d - 3s2.3p4.(3P).5p    |    4D  - 4P*   |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 132481.2068   -  188766.2129  |  6 - 6  |           |      |    |
       |                                         |                | 132327.3616   -  188766.2129  |  8 - 6  |           |      |    |
       |                                         |                | 132481.2068   -  189040.9351  |  6 - 4  |           |      |    |
       |                                         |                | 132737.7039   -  189437.7396  |  2 - 2  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    54 |                                         |    4D  - 4D*   |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 132327.3616   -  189415.0280  |  8 - 8  |           |      |    |
       |                                         |                | 132481.2068   -  190106.3000  |  6 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    55 |                                         |    4D  - 2D*   |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 132327.3616   -  190511.2674  |  8 - 6  |           |      |    |
