# x(m) s(m) tau_w(Pa) Cf Cf_blasius y_plus p(Pa) Cp q(W/m**2) Ch
0.041303 0.041303 18.984216 0.008119 0.006542 0.132603 68.609068 0.015707 19945.300219 0.003702
0.041857 0.041857 18.831381 0.008053 0.006499 0.132765 68.317311 0.015582 19782.089756 0.003672
0.042415 0.042415 18.678858 0.007988 0.006456 0.132923 68.028910 0.015459 19623.945815 0.003642
0.042975 0.042975 18.530528 0.007925 0.006414 0.133093 67.743826 0.015337 19466.702470 0.003613
0.043539 0.043539 18.383136 0.007862 0.006372 0.133262 67.462017 0.015217 19312.959989 0.003585
0.044106 0.044106 18.239069 0.007800 0.006331 0.133439 67.183433 0.015098 19161.030515 0.003557
0.044676 0.044676 18.096562 0.007739 0.006291 0.133618 66.908045 0.014980 19011.741273 0.003529
0.045250 0.045250 17.956608 0.007679 0.006251 0.133802 66.635802 0.014863 18864.759856 0.003502
0.045826 0.045826 17.818710 0.007620 0.006211 0.133991 66.366683 0.014748 18719.793410 0.003475
0.046406 0.046406 17.682775 0.007562 0.006172 0.134183 66.100639 0.014634 18577.576289 0.003448
0.046989 0.046989 17.549178 0.007505 0.006134 0.134380 65.837657 0.014522 18436.668447 0.003422
0.047575 0.047575 17.417247 0.007448 0.006096 0.134580 65.577696 0.014411 18299.200907 0.003397
0.048165 0.048165 17.287502 0.007393 0.006058 0.134785 65.320772 0.014301 18161.917369 0.003371
0.048757 0.048757 17.159728 0.007338 0.006022 0.134993 65.066898 0.014192 18029.431563 0.003346
0.049352 0.049352 17.032910 0.007284 0.005985 0.135204 64.816211 0.014085 17895.041731 0.003322
0.049951 0.049951 16.909717 0.007231 0.005949 0.135423 64.568990 0.013979 17768.224751 0.003298
0.050553 0.050553 16.783328 0.007177 0.005914 0.135631 64.325960 0.013876 17635.355990 0.003273
0.051157 0.051157 16.665687 0.007127 0.005879 0.135868 64.088388 0.013774 17516.099739 0.003251
0.051765 0.051765 16.531891 0.007070 0.005844 0.136047 63.858123 0.013675 17382.592504 0.003226
0.052375 0.052375 16.418820 0.007022 0.005810 0.136311 63.643312 0.013584 17274.079842 0.003206
0.052989 0.052989 16.243476 0.006947 0.005776 0.136359 63.463186 0.013507 17136.276775 0.003181
0.053605 0.053605 16.099678 0.006885 0.005743 0.136598 63.365027 0.013465 17044.198256 0.003164
0.054225 0.054225 15.775809 0.006747 0.005710 0.136210 63.378460 0.013470 16880.104864 0.003133
0.054847 0.054847 15.540030 0.006646 0.005677 0.136437 63.682067 0.013600 16827.071866 0.003123
0.055472 0.055472 14.567129 0.006230 0.005645 0.134221 64.802690 0.014079 16652.098388 0.003091
0.056100 0.056100 13.519415 0.005782 0.005614 0.132264 66.877265 0.014967 16570.556615 0.003076
0.056731 0.056731 11.321560 0.004842 0.005582 0.125631 70.995441 0.016728 16345.824608 0.003034
0.057365 0.057365 8.602091 0.003679 0.005551 0.115336 77.545679 0.019529 16022.700230 0.002974
0.058001 0.058001 5.566011 0.002380 0.005521 0.098733 86.302815 0.023274 15425.597820 0.002863
0.058641 0.058641 3.004982 0.001285 0.005491 0.077313 96.212497 0.027512 14683.741606 0.002725
0.059282 0.059282 0.967959 0.000414 0.005461 0.046570 106.252617 0.031805 13789.390472 0.002559
0.059927 0.059927 -0.487218 -0.000208 0.005431 0.034833 115.730171 0.035859 12847.455588 0.002385
0.060574 0.060574 -1.524022 -0.000652 0.005402 0.064510 124.331000 0.039537 11893.003975 0.002207
0.061224 0.061224 -2.215813 -0.000948 0.005374 0.080954 131.968637 0.042803 10979.352755 0.002038
0.061876 0.061876 -2.679668 -0.001146 0.005345 0.092175 138.682072 0.045674 10118.073374 0.001878
0.062531 0.062531 -2.970568 -0.001270 0.005317 0.100055 144.568104 0.048191 9327.336360 0.001731
0.063189 0.063189 -3.148161 -0.001346 0.005289 0.105825 149.734870 0.050401 8606.250902 0.001597
0.063849 0.063849 -3.243733 -0.001387 0.005262 0.110047 154.286949 0.052347 7961.749765 0.001478
0.064511 0.064511 -3.285679 -0.001405 0.005235 0.113198 158.319705 0.054072 7391.543783 0.001372
0.065176 0.065176 -3.292005 -0.001408 0.005208 0.115574 161.910903 0.055608 6898.898436 0.001281
0.065843 0.065843 -3.277116 -0.001401 0.005182 0.117424 165.131430 0.056985 6480.706402 0.001203
0.066513 0.066513 -3.251926 -0.001391 0.005156 0.118945 168.038787 0.058228 6134.232308 0.001139
0.067185 0.067185 -3.221838 -0.001378 0.005130 0.120246 170.683803 0.059360 5851.458553 0.001086
0.067859 0.067859 -3.189948 -0.001364 0.005104 0.121400 173.108408 0.060396 5624.000882 0.001044
0.068536 0.068536 -3.159175 -0.001351 0.005079 0.122478 175.348238 0.061354 5443.039136 0.001010
0.069214 0.069214 -3.129505 -0.001338 0.005054 0.123493 177.427899 0.062244 5301.305781 0.000984
0.069895 0.069895 -3.104553 -0.001328 0.005029 0.124529 179.369179 0.063074 5192.530309 0.000964
0.070578 0.070578 -3.084653 -0.001319 0.005005 0.125607 181.194179 0.063854 5110.977026 0.000949
0.071263 0.071263 -3.070469 -0.001313 0.004981 0.126755 182.923777 0.064594 5051.371651 0.000938
0.071950 0.071950 -3.059963 -0.001309 0.004957 0.127945 184.575468 0.065300 5007.716012 0.000929
0.072639 0.072639 -3.048943 -0.001304 0.004933 0.129098 186.160934 0.065978 4973.543354 0.000923
0.073330 0.073330 -3.035055 -0.001298 0.004910 0.130168 187.688663 0.066632 4944.780771 0.000918
0.074023 0.074023 -3.017565 -0.001290 0.004887 0.131137 189.161408 0.067261 4922.551030 0.000914
0.074718 0.074718 -2.997522 -0.001282 0.004864 0.132027 190.581896 0.067869 4903.144681 0.000910
0.075415 0.075415 -2.975897 -0.001273 0.004842 0.132855 191.945722 0.068452 4890.974037 0.000908
0.076114 0.076114 -2.956865 -0.001265 0.004819 0.133715 193.255630 0.069012 4883.120849 0.000906
0.076814 0.076814 -2.940729 -0.001258 0.004797 0.134614 194.517550 0.069552 4885.705357 0.000907
0.077516 0.077516 -2.931940 -0.001254 0.004776 0.135670 195.749824 0.070079 4889.703181 0.000908
0.078220 0.078220 -2.911486 -0.001245 0.004754 0.136437 196.948839 0.070592 4903.721765 0.000910
0.078925 0.078925 -2.894737 -0.001238 0.004733 0.137275 198.105430 0.071086 4912.610771 0.000912
0.079632 0.079632 -2.878454 -0.001231 0.004712 0.138103 199.228513 0.071567 4930.007890 0.000915
0.080340 0.080340 -2.863636 -0.001225 0.004691 0.138953 200.319967 0.072033 4947.768037 0.000918
0.081050 0.081050 -2.848983 -0.001218 0.004670 0.139792 201.383087 0.072488 4969.247019 0.000922
0.081762 0.081762 -2.836418 -0.001213 0.004650 0.140671 202.420936 0.072932 4991.231193 0.000926
0.082474 0.082474 -2.822799 -0.001207 0.004630 0.141515 203.442018 0.073369 5014.223807 0.000931
0.083188 0.083188 -2.815951 -0.001204 0.004610 0.142521 204.445568 0.073798 5039.170336 0.000935
