---------------------------------------------------------------------------------------------------------------------------------------
 Mult. |             Configurations              |      Terms     |         Ei           Ek         | gi   gk |    Aki    | Acc. |Type|
  No.  |                                         |                |       (cm-1)       (cm-1)       |         |    s^-1   |      |    |
       |                                         |                |                                 |         |           |      |    |
---------------------------------------------------------------------------------------------------------------------------------------
    30 |            2s2.2p3 - 2s2.2p2.(3P).4s    |    2D* - 2P    |  26818.56      -  240454.9      | 10 - 6  | 8.49e+07  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  240517.35     |  6 - 4  | 7.65e+07  | C    |    |
       |                                         |                |  26830.57      -  240517.35     |  4 - 4  | 8.50e+06  | D    |    |
       |                                         |                |  26830.57      -  240330.01     |  4 - 2  | 8.48e+07  | C    |    |
       |                                         |                |                                 |         |           |      |    |
    31 |            2s2.2p3 - 2s2.2p2.(1D).3d    |    2D* - 2F    |  26818.56      -  251223.3      | 10 - 14 | 1.44e+09  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  251224.79     |  6 - 6  | 9.58e+07  | D    |    |
       |                                         |                |  26810.55      -  251222.19     |  6 - 8  | 1.44e+09  | C    |    |
       |                                         |                |  26830.57      -  251224.79     |  4 - 6  | 1.34e+09  | C    |    |
       |                                         |                |                                 |         |           |      |    |
    32 |                                         |    2D* - 2D    |  26818.56      -  253047.99     | 10 - 10 | 2.79e+09  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  253048.82     |  6 - 6  | 2.61e+09  | D    |    |
       |                                         |                |  26810.55      -  253046.74     |  6 - 4  | 2.79e+08  | D    |    |
       |                                         |                |  26830.57      -  253048.82     |  4 - 6  | 1.86e+08  | D    |    |
       |                                         |                |  26830.57      -  253046.74     |  4 - 4  | 2.51e+09  | D    |    |
       |                                         |                |                                 |         |           |      |    |
    33 |                                         |    2D* - 2P    |  26818.56      -  253791.6      | 10 - 6  | 1.53e+09  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  253792.40     |  6 - 4  | 1.37e+09  | D    |    |
       |                                         |                |  26830.57      -  253792.40     |  4 - 4  | 1.53e+08  | D    |    |
       |                                         |                |  26830.57      -  253789.99     |  4 - 2  | 1.53e+09  | D    |    |
       |                                         |                |                                 |         |           |      |    |
    34 |            2s2.2p3 - 2s2.2p2.(3P).4d    |    2D* - 2P    |  26818.56      -  255209.7      | 10 - 6  | 9.49e+07  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26830.57      -  255281.93     |  4 - 2  | 9.50e+07  | D    |    |
       |                                         |                |  26810.55      -  255173.58     |  6 - 4  | 8.54e+07  | D    |    |
       |                                         |                |  26830.57      -  255173.58     |  4 - 4  | 9.49e+06  | D    |    |
       |                                         |                |                                 |         |           |      |    |
    35 |                                         |    2D* - 2F    |  26818.56      -  255395.82     | 10 - 14 | 2.04e+09  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  255466.10     |  6 - 8  | 2.04e+09  | C    |    |
       |                                         |                |  26810.55      -  255302.11     |  6 - 6  | 1.36e+08  | D    |    |
       |                                         |                |  26830.57      -  255302.11     |  4 - 6  | 1.90e+09  | C    |    |
       |                                         |                |                                 |         |           |      |    |
    36 |                                         |    2D* - 2D    |  26818.56      -  255875.72     | 10 - 10 | 3.10e+08  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  255897.59     |  6 - 6  | 2.89e+08  | D    |    |
       |                                         |                |  26830.57      -  255897.59     |  4 - 6  | 2.07e+07  | D    |    |
       |                                         |                |  26810.55      -  255842.91     |  6 - 4  | 3.10e+07  | D    |    |
       |                                         |                |  26830.57      -  255842.91     |  4 - 4  | 2.79e+08  | D    |    |
       |                                         |                |                                 |         |           |      |    |
    37 |            2s2.2p3 - 2s2.2p2.(3P).5s    |    2D* - 2P    |  26818.56      -  258541.32     | 10 - 6  | 9.33e+07  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  258606.35     |  6 - 4  | 8.40e+07  | D    |    |
       |                                         |                |  26830.57      -  258606.35     |  4 - 4  | 9.33e+06  | D    |    |
       |                                         |                |  26830.57      -  258411.26     |  4 - 2  | 9.31e+07  | D    |    |
       |                                         |                |                                 |         |           |      |    |
    38 |            2s2.2p3 - 2s2.2p2.(1D).4s    |    2D* - 2D    |  26818.56      -  259287.79     | 10 - 10 | 2.74e+08  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  259288.07     |  6 - 4  | 2.74e+07  | D    |    |
       |                                         |                |  26810.55      -  259287.61     |  6 - 6  | 2.56e+08  | D    |    |
       |                                         |                |  26830.57      -  259288.07     |  4 - 4  | 2.47e+08  | D    |    |
       |                                         |                |  26830.57      -  259287.61     |  4 - 6  | 1.83e+07  | D    |    |
       |                                         |                |                                 |         |           |      |    |
    39 |            2s2.2p3 - 2s2.2p2.(3P).5d    |    2D* - 2F    |                                 |         |           |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  265581.2      |  6 - 8  |           |      |    |
       |                                         |                |                                 |         |           |      |    |
    40 |                                         |    2D* - 2D    |                                 |         |           |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  265855.2      |  6 - 6  |           |      |    |
       |                                         |                |  26830.57      -  265855.2      |  4 - 6  |           |      |    |
       |                                         |                |                                 |         |           |      |    |
    41 |            2s2.2p3 - 2s2.2p2.(3P).6s    |    2D* - 2P    |  26818.56      -  267232.5      | 10 - 6  |           |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  267298.23     |  6 - 4  |           |      |    |
       |                                         |                |  26830.57      -  267298.23     |  4 - 4  |           |      |    |
       |                                         |                |  26830.57      -  267101.1      |  4 - 2  |           |      |    |
       |                                         |                |                                 |         |           |      |    |
    42 |            2s2.2p3 - 2s2.2p2.(1D).4d    |    2D* - 2F    |  26818.56      -  274764        | 10 - 14 | 1.24e+09  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  274781.5      |  6 - 8  | 1.24e+09  | D    |    |
       |                                         |                |  26810.55      -  274740.7      |  6 - 6  | 8.24e+07  | D    |    |
       |                                         |                |  26830.57      -  274740.7      |  4 - 6  | 1.15e+09  | D    |    |
       |                                         |                |                                 |         |           |      |    |
    43 |                                         |    2D* - 2D    |  26818.56      -  274923.2      | 10 - 10 | 1.20e+09  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  274928.0      |  6 - 6  | 1.12e+09  | D    |    |
       |                                         |                |  26810.55      -  274916.0      |  6 - 4  | 1.20e+08  | D    |    |
       |                                         |                |  26830.57      -  274928.0      |  4 - 6  | 8.03e+07  | D    |    |
       |                                         |                |  26830.57      -  274916.0      |  4 - 4  | 1.08e+09  | D    |    |
       |                                         |                |                                 |         |           |      |    |
    44 |                                         |    2D* - 2P    |                                 |         |           |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  275611.1      |  6 - 4  |           |      |    |
       |                                         |                |  26830.57      -  275611.1      |  4 - 4  |           |      |    |
       |                                         |                |                                 |         |           |      |    |
    45 |            2s2.2p3 - 2s2.2p2.(1S).3d    |    2D* - 2D    |  26818.56      -  276038.77     | 10 - 10 | 2.01e+08  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  276075.32     |  6 - 6  | 1.88e+08  | D    |    |
       |                                         |                |  26830.57      -  276075.32     |  4 - 6  | 1.34e+07  | E    |    |
       |                                         |                |  26810.55      -  275983.95     |  6 - 4  | 2.01e+07  | E    |    |
       |                                         |                |  26830.57      -  275983.95     |  4 - 4  | 1.81e+08  | D    |    |
       |                                         |                |                                 |         |           |      |    |
    46 |            2s2.2p3 - 2s2.2p2.(1D).5s    |    2D* - 2D    |  26818.56      -  278144.5      | 10 - 10 |           |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  278144.62     |  6 - 6  |           |      |    |
       |                                         |                |  26810.55      -  278144.33     |  6 - 4  |           |      |    |
       |                                         |                |  26830.57      -  278144.62     |  4 - 6  |           |      |    |
       |                                         |                |  26830.57      -  278144.33     |  4 - 4  |           |      |    |
       |                                         |                |                                 |         |           |      |    |
    47 |            2s2.2p3 - 2s2.2p2.(1D).6s    |    2D* - 2D    |  26818.56      -  287046.5      | 10 - 10 |           |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  287047.1      |  6 - 6  |           |      |    |
       |                                         |                |  26810.55      -  287045.6      |  6 - 4  |           |      |    |
       |                                         |                |  26830.57      -  287047.1      |  4 - 6  |           |      |    |
       |                                         |                |  26830.57      -  287045.6      |  4 - 4  |           |      |    |
       |                                         |                |                                 |         |           |      |    |
    48 |            2s2.2p3 - 2s2.2p3            |    2P* - 2P*   |                                 |         |           |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  40468.01      -   40470.00     |  4 - 2  | 1.41e-10  | B    | M1 |
       |                                         |                |  40468.01      -   40470.00     |  4 - 2  | 4.24e-24  | E    | E2 |
       |                                         |                |                                 |         |           |      |    |
    49 |            2s2.2p3 - 2s.2p4             |    2P* - 4P    |  40468.67      -  119932.56     |  6 - 12 |           |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  40468.01      -  120082.86     |  4 - 2  |           |      |    |
       |                                         |                |  40470.00      -  120082.86     |  2 - 2  |           |      |    |
       |                                         |                |  40468.01      -  120000.43     |  4 - 4  |           |      |    |
       |                                         |                |  40470.00      -  120000.43     |  2 - 4  |           |      |    |
       |                                         |                |  40468.01      -  119837.21     |  4 - 6  |           |      |    |
       |                                         |                |                                 |         |           |      |    |
    50 |                                         |    2P* - 2D    |  40468.67      -  165991.68     |  6 - 10 | 1.98e+08  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  40468.01      -  165996.50     |  4 - 4  | 2.79e+07  | B    |    |
       |                                         |                |  40470.00      -  165996.50     |  2 - 4  | 1.65e+08  | B+   |    |
       |                                         |                |  40468.01      -  165988.46     |  4 - 6  | 2.02e+08  | B+   |    |
       |                                         |                |                                 |         |           |      |    |
    51 |            2s2.2p3 - 2s2.2p2.(3P).3s    |    2P* - 2P    |  40468.67      -  189008.524    |  6 - 6  | 5.66e+08  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  40468.01      -  189068.514    |  4 - 4  | 4.78e+08  | B+   |    |
       |                                         |                |  40470.00      -  189068.514    |  2 - 4  | 9.68e+07  | B+   |    |
       |                                         |                |  40468.01      -  188888.543    |  4 - 2  | 1.86e+08  | B+   |    |
       |                                         |                |  40470.00      -  188888.543    |  2 - 2  | 3.63e+08  | B+   |    |
       |                                         |                |                                 |         |           |      |    |
    52 |            2s2.2p3 - 2s.2p4             |    2P* - 2S    |  40468.67      -  195710.47     |  6 - 2  | 5.27e+09  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  40468.01      -  195710.47     |  4 - 2  | 3.48e+09  | B+   |    |
       |                                         |                |  40470.00      -  195710.47     |  2 - 2  | 1.79e+09  | B+   |    |
       |                                         |                |                                 |         |           |      |    |
    53 |            2s2.2p3 - 2s2.2p2.(1D).3s    |    2P* - 2D    |  40468.67      -  206972.1      |  6 - 10 | 4.76e+08  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  40468.01      -  206972.72     |  4 - 4  | 8.72e+07  | C+   |    |
       |                                         |                |  40468.01      -  206971.68     |  4 - 6  | 4.71e+08  | B    |    |
       |                                         |                |  40470.00      -  206972.72     |  2 - 4  | 3.96e+08  | B    |    |
       |                                         |                |                                 |         |           |      |    |
    54 |            2s2.2p3 - 2s.2p4             |    2P* - 2P    |  40468.67      -  212649.96     |  6 - 6  | 1.58e+09  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  40468.01      -  212762.25     |  4 - 2  | 5.97e+08  | C+   |    |
       |                                         |                |  40470.00      -  212762.25     |  2 - 2  | 1.03e+09  | B    |    |
       |                                         |                |  40468.01      -  212593.82     |  4 - 4  | 1.30e+09  | B    |    |
       |                                         |                |  40470.00      -  212593.82     |  2 - 4  | 2.63e+08  | B    |    |
