#x(m)	y(m)	z(m)	du(m/s)	dy(m)	rho(kg/m^3)	mu(N.s/m^2)	tau_w(N/m^2)	y_plus 
4.371319e-02	2.176755e-02	0.000000	960.806660	2.694847e-05	1.686744e+00	3.990252e-05	1422.664	33.083351 
4.432840e-02	2.189820e-02	0.000000	958.796129	2.711021e-05	1.655332e+00	3.980638e-05	1407.816	32.877278 
4.494830e-02	2.202985e-02	0.000000	956.690054	2.727320e-05	1.624488e+00	3.970967e-05	1392.937	32.671104 
4.557292e-02	2.216250e-02	0.000000	954.483912	2.743742e-05	1.594240e+00	3.960566e-05	1377.789	32.467901 
4.620228e-02	2.229616e-02	0.000000	952.178835	2.760289e-05	1.564570e+00	3.950306e-05	1362.683	32.264038 
4.683640e-02	2.243083e-02	0.000000	949.774877	2.776961e-05	1.535473e+00	3.940180e-05	1347.619	32.059610 
4.747530e-02	2.256651e-02	0.000000	947.270592	2.793759e-05	1.506947e+00	3.930186e-05	1332.595	31.854724 
4.811901e-02	2.270322e-02	0.000000	944.666906	2.810683e-05	1.478989e+00	3.920320e-05	1317.615	31.649508 
4.876754e-02	2.284094e-02	0.000000	941.961658	2.827734e-05	1.451592e+00	3.910574e-05	1302.672	31.444005 
4.942092e-02	2.297970e-02	0.000000	939.159125	2.844912e-05	1.424760e+00	3.900949e-05	1287.777	31.238470 
5.007916e-02	2.311949e-02	0.000000	936.240920	2.862218e-05	1.398503e+00	3.891449e-05	1272.906	31.032812 
5.074229e-02	2.326032e-02	0.000000	933.244972	2.879653e-05	1.372810e+00	3.882065e-05	1258.109	30.827738 
5.141033e-02	2.340219e-02	0.000000	930.083193	2.897217e-05	1.347681e+00	3.872795e-05	1243.270	30.621933 
5.208329e-02	2.354511e-02	0.000000	926.894710	2.914910e-05	1.323027e+00	3.863585e-05	1228.558	30.417031 
5.276120e-02	2.368907e-02	0.000000	923.585660	2.932733e-05	1.298975e+00	3.854498e-05	1213.871	30.212825 
5.344407e-02	2.383410e-02	0.000000	920.179072	2.950687e-05	1.275425e+00	3.845479e-05	1199.222	30.008899 
5.413193e-02	2.398018e-02	0.000000	916.679787	2.968772e-05	1.252378e+00	3.836522e-05	1184.619	29.805479 
5.482479e-02	2.412732e-02	0.000000	913.090749	2.986988e-05	1.229823e+00	3.827620e-05	1170.063	29.602651 
5.552267e-02	2.427553e-02	0.000000	909.414424	3.005337e-05	1.207749e+00	3.818763e-05	1155.557	29.400487 
5.622559e-02	2.442481e-02	0.000000	905.652896	3.023818e-05	1.186146e+00	3.809942e-05	1141.102	29.199045 
5.693357e-02	2.457516e-02	0.000000	901.808421	3.042432e-05	1.165005e+00	3.801150e-05	1126.700	28.998396 
5.764663e-02	2.472659e-02	0.000000	897.882976	3.061179e-05	1.144317e+00	3.792379e-05	1112.353	28.798608 
5.836478e-02	2.487911e-02	0.000000	893.877850	3.080060e-05	1.124075e+00	3.783624e-05	1098.062	28.599758 
5.908804e-02	2.503270e-02	0.000000	889.793713	3.099076e-05	1.104276e+00	3.774883e-05	1083.829	28.401935 
5.981644e-02	2.518739e-02	0.000000	885.630368	3.118227e-05	1.084919e+00	3.766155e-05	1069.653	28.205237 
6.054997e-02	2.534317e-02	0.000000	881.388188	3.137513e-05	1.066003e+00	3.757439e-05	1055.537	28.009773 
6.128867e-02	2.550005e-02	0.000000	877.064807	3.156934e-05	1.047528e+00	3.748735e-05	1041.480	27.815641 
6.203255e-02	2.565803e-02	0.000000	872.662087	3.176492e-05	1.029496e+00	3.740046e-05	1027.485	27.623001 
6.278162e-02	2.581711e-02	0.000000	868.174211	3.196186e-05	1.011907e+00	3.731373e-05	1013.546	27.431876 
6.353591e-02	2.597730e-02	0.000000	863.613779	3.216017e-05	9.947608e-01	3.722714e-05	999.680	27.242595 
6.429542e-02	2.613859e-02	0.000000	858.953646	3.235986e-05	9.780525e-01	3.714072e-05	985.856	27.054786 
6.506016e-02	2.630100e-02	0.000000	854.259548	3.256093e-05	9.617784e-01	3.705435e-05	972.148	26.869600 
6.583017e-02	2.646453e-02	0.000000	849.383481	3.276337e-05	9.459454e-01	3.696833e-05	958.396	26.684821 
6.660544e-02	2.662917e-02	0.000000	844.556007	3.296720e-05	9.304703e-01	3.688166e-05	944.837	26.503384 
6.738599e-02	2.679494e-02	0.000000	839.622953	3.317242e-05	9.154563e-01	3.679540e-05	931.324	26.324055 
6.817185e-02	2.696183e-02	0.000000	834.625231	3.337904e-05	9.008184e-01	3.670886e-05	917.886	26.146637 
6.896301e-02	2.712985e-02	0.000000	829.573303	3.358705e-05	8.865501e-01	3.662199e-05	904.534	25.971317 
6.975949e-02	2.729900e-02	0.000000	824.472797	3.379645e-05	8.726406e-01	3.653473e-05	891.274	25.798146 
7.056131e-02	2.746928e-02	0.000000	819.325590	3.400727e-05	8.590864e-01	3.644711e-05	878.108	25.627189 
7.136848e-02	2.764070e-02	0.000000	814.135700	3.421948e-05	8.458787e-01	3.635911e-05	865.041	25.458485 
7.218101e-02	2.781325e-02	0.000000	808.903911	3.443311e-05	8.330152e-01	3.627077e-05	852.074	25.292089 
7.299891e-02	2.798695e-02	0.000000	803.621875	3.464815e-05	8.205181e-01	3.618237e-05	839.206	25.128204 
7.382218e-02	2.816179e-02	0.000000	798.272920	3.486460e-05	8.084230e-01	3.609437e-05	826.430	24.967073 
7.465085e-02	2.833777e-02	0.000000	792.833574	3.508247e-05	7.967898e-01	3.600739e-05	813.736	24.809165 
7.548492e-02	2.851490e-02	0.000000	787.270297	3.530176e-05	7.856854e-01	3.592223e-05	801.107	24.654876 
7.632441e-02	2.869318e-02	0.000000	781.539629	3.552247e-05	7.752279e-01	3.583998e-05	788.525	24.505183 
7.716931e-02	2.887262e-02	0.000000	775.576039	3.574461e-05	7.655272e-01	3.576200e-05	775.953	24.360539 
7.801964e-02	2.905320e-02	0.000000	769.312916	3.596818e-05	7.568043e-01	3.569006e-05	763.364	24.223054 
7.887541e-02	2.923494e-02	0.000000	762.690381	3.619317e-05	7.490881e-01	3.562506e-05	750.719	24.092180 
7.973663e-02	2.941784e-02	0.000000	755.634763	3.641960e-05	7.427100e-01	3.556908e-05	737.988	23.971591 
8.060330e-02	2.960189e-02	0.000000	748.161606	3.664746e-05	7.374967e-01	3.552133e-05	725.172	23.859156 
8.147542e-02	2.978710e-02	0.000000	740.528455	3.687676e-05	7.332830e-01	3.547735e-05	712.427	23.757868 
8.235302e-02	2.997348e-02	0.000000	732.607104	3.710749e-05	7.296669e-01	3.543629e-05	699.613	23.659446 
8.323608e-02	3.016101e-02	0.000000	724.767460	3.733966e-05	7.268332e-01	3.539603e-05	687.041	23.573533 
8.412463e-02	3.034971e-02	0.000000	716.846361	3.757328e-05	7.245562e-01	3.535703e-05	674.563	23.493661 
8.501865e-02	3.053958e-02	0.000000	708.959102	3.780833e-05	7.227540e-01	3.531765e-05	662.255	23.420906 
8.591816e-02	3.073061e-02	0.000000	701.228466	3.804483e-05	7.211735e-01	3.527562e-05	650.187	23.353939 
8.682317e-02	3.092280e-02	0.000000	693.770225	3.828277e-05	7.196394e-01	3.522976e-05	638.443	23.292286 
8.773366e-02	3.111616e-02	0.000000	686.568474	3.852215e-05	7.181021e-01	3.517963e-05	626.996	23.235105 
8.864966e-02	3.131069e-02	0.000000	679.819418	3.876298e-05	7.163780e-01	3.512574e-05	616.030	23.182684 
8.957115e-02	3.150639e-02	0.000000	673.579926	3.900525e-05	7.143517e-01	3.506731e-05	605.576	23.134543 
9.049814e-02	3.170326e-02	0.000000	667.815248	3.924898e-05	7.118625e-01	3.500198e-05	595.553	23.088413 
9.143064e-02	3.190129e-02	0.000000	662.591218	3.949414e-05	7.088604e-01	3.492894e-05	586.001	23.045005 
9.236864e-02	3.210049e-02	0.000000	657.752109	3.974076e-05	7.050718e-01	3.484518e-05	576.725	22.998235 
9.331214e-02	3.230086e-02	0.000000	653.873937	3.998882e-05	7.004268e-01	3.475220e-05	568.248	22.956545 
9.426115e-02	3.250240e-02	0.000000	650.144639	4.023833e-05	6.950457e-01	3.464472e-05	559.767	22.909370 
9.521566e-02	3.270511e-02	0.000000	647.576822	4.048928e-05	6.888786e-01	3.452360e-05	552.163	22.873310 
