-----------------------------------------------------------------------
Configuration          | Term      |   J |                   Level    |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).6d  | 2[3/2]*   |   2 |             125066.432     |
                       |           |   1 |             125286.26      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).9p  | 2[3/2]    |   1 |             125072.63      |
                       |           |   2 |             125075.14      |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).6d  | 2[5/2]*   |   2 |             125113.376     |
                       |           |   3 |             125149.937     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).8d  | 2[1/2]*   |   1 |             125135.831     |
                       |           |   0 |             125162.94      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).8d  | 2[7/2]*   |   4 |             125219.788     |
                       |           |   3 |             125269.42      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).8d  | 2[3/2]*   |   2 |             125282.90      |
                       |           |   1 |             125736.9       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).8d  | 2[5/2]*   |   2 |             125291.23      |
                       |           |   3 |             125293.67      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).10s | 2[3/2]*   |   2 |             125329.94      |
                       |           |   1 |             125331.84      |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).8s  | 2[1/2]*   |   0 |             125334.69      |
                       |           |   1 |             125353.23      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).8f  | 2[3/2]    |   1 |             125386.3       |
                       |           |   2 |             125386.34      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).8f  | 2[9/2]    |   4 |             125388         |
                       |           |   5 |             125388.57      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).8f  | 2[5/2]    |   2 |             125391.10      |
                       |           |   3 |             125391.02      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).8f  | 2[7/2]    |   4 |             125393.69      |
                       |           |   3 |             125393.70      |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).6f  | 2[7/2]    |   3 |             125482.641     |
                       |           |   4 |             125482.68      |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).6f  | 2[5/2]    |   2 |             125483.362     |
                       |           |   3 |             125483.145     |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).6g  | 2[9/2]*   |   5 |             125490.74      |
                       |           |   4 |             125490.74      |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).6g  | 2[7/2]*   |   3 |             125490.83      |
                       |           |   4 |             125490.83      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).10p | 2[1/2]    |   1 |             125505.46      |
                       |           |   0 |             125561.8       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).10p | 2[5/2]    |   3 |             125519.8       |
                       |           |   2 |             125523.2       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).10p | 2[3/2]    |   1 |             125531.6       |
                       |           |   2 |             125533.83      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).9d  | 2[1/2]*   |   0 |             125595.09      |
                       |           |   1 |             125613.07      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).9d  | 2[7/2]*   |   4 |             125631.64      |
                       |           |   3 |             125651.99      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).9d  | 2[3/2]*   |   2 |             125637.87      |
                       |           |   1 |             125718.11      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).9d  | 2[5/2]*   |   2 |             125671.48      |
                       |           |   3 |             125680.38      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).11s | 2[3/2]*   |   2 |             125709.37      |
                       |           |   1 |             125715.41      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).9f  | 2[3/2]    |   1 |             125748.75      |
                       |           |   2 |             125748.75      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).9f  | 2[9/2]    |   4 |             125750.34      |
                       |           |   5 |             125750.34      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).9f  | 2[5/2]    |   2 |             125752.6       |
                       |           |   3 |             125752.6       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).9f  | 2[7/2]    |   4 |             125754.15      |
                       |           |   3 |             125754.15      |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).8p  | 2[1/2]    |   1 |             125777.32      |
                       |           |   0 |             125831.53      |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).8p  | 2[3/2]    |   1 |             125783.71      |
                       |           |   2 |             125791.95      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).11p | 2[1/2]    |   1 |             125844.3       |
                       |           |   0 |             125888.8       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).11p | 2[5/2]    |   2 |             125846.5       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).11p | 2[3/2]    |   1 |             125853.3       |
                       |           |   2 |             125853.77      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).10d | 2[1/2]*   |   0 |             125895.74      |
                       |           |   1 |             125898.58      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).10d | 2[3/2]*   |   2 |             125906.45      |
                       |           |   1 |             125979.4       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).10d | 2[7/2]*   |   4 |             125922.47      |
                       |           |   3 |             125932.53      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).10d | 2[5/2]*   |   2 |             125945.67      |
                       |           |   3 |             125957.24      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).12s | 2[3/2]*   |   2 |             125979.36      |
                       |           |   1 |             125984.32      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).10f | 2[3/2]    |   1 |             126008.4       |
                       |           |   2 |             126008.4       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).10f | 2[5/2]    |   2 |             126010.3       |
                       |           |   3 |             126010.3       |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).7d  | 2[3/2]*   |   2 |             126053.10      |
                       |           |   1 |             126161.9       |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).7d  | 2[5/2]*   |   2 |             126064.44      |
                       |           |   3 |             126089.54      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).12p | 2[1/2]    |   1 |             126072.60      |
                       |           |   0 |             126101.62      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).12p | 2[5/2]    |   2 |             126079.4       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).12p | 2[3/2]    |   2 |             126085.1       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).11d | 2[1/2]*   |   1 |             126099.36      |
                       |           |   0 |             126114.60      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).11d | 2[7/2]*   |   4 |             126135.36      |
                       |           |   3 |             126154.53      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).11d | 2[3/2]*   |   2 |             126160.17      |
                       |           |   1 |             126204.1       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).11d | 2[5/2]*   |   2 |             126162.42      |
                       |           |   3 |             126163.22      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).13s | 2[3/2]*   |   2 |             126178.19      |
                       |           |   1 |             126181.2       |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).9s  | 2[1/2]*   |   0 |             126202.78      |
                       |           |   1 |             126211.52      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).11f | 2[3/2]    |   1 |            [126211.5]      |
                       |           |   2 |            [126211.5]      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).11f | 2[5/2]    |   2 |            [126211.5]      |
                       |           |   3 |            [126211.5]      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).13p | 2[5/2]    |   2 |             126253.3       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).13p | 2[3/2]    |   2 |             126257.4       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).13p | 2[1/2]    |   0 |             126270.1       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).12d | 2[1/2]*   |   0 |             126281.37      |
                       |           |   1 |             126292.65      |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).7f  | 2[7/2]    |   3 |             126294.83      |
                       |           |   4 |             126294.84      |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).7f  | 2[5/2]    |   3 |             126294.97      |
                       |           |   2 |            126295.         |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).12d | 2[7/2]*   |   4 |             126295.73      |
                       |           |   3 |             126305.23      |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).7h  | 2[11/2]   |   6 |             126301.29      |
                       |           |   5 |             126301.29      |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).7h  | 2[9/2]    |   5 |             126301.53      |
                       |           |   4 |             126301.53      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).12d | 2[3/2]*   |   2 |             126302.56      |
                       |           |   1 |             126334.2       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).12d | 2[5/2]*   |   2 |             126313.06      |
                       |           |   3 |             126316.00      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).14s | 2[3/2]*   |   2 |             126328.74      |
                       |           |   1 |             126332.0       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).12f | 2[3/2]    |   2 |             126345.3       |
                       |           |   1 |             126345.3       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).12f | 2[5/2]    |   3 |             126345.9       |
                       |           |   2 |             126345.9       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).14p | 2[5/2]    |   2 |             126386.7       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).14p | 2[3/2]    |   2 |             126390.0       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).13d | 2[1/2]*   |   1 |             126412.94      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).13d | 2[7/2]*   |   4 |             126419.77      |
                       |           |   3 |             126426.01      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).13d | 2[3/2]*   |   2 |             126420.70      |
                       |           |   1 |             126447.9       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).13d | 2[5/2]*   |   2 |             126432.10      |
                       |           |   3 |             126435.40      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).15s | 2[3/2]*   |   1 |             126447.9       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).13f | 2[3/2]    |   1 |             126458.8       |
                       |           |   2 |             126458.8       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).13f | 2[5/2]    |   2 |             126459.3       |
                       |           |   3 |             126459.3       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).15p | 2[5/2]    |   2 |             126492.8       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).15p | 2[3/2]    |   2 |             126496.6       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).14d | 2[1/2]*   |   0 |             126508.04      |
                       |           |   1 |             126509.65      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).14d | 2[3/2]*   |   2 |             126514.67      |
                       |           |   1 |             126539.0       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).14d | 2[7/2]*   |   4 |             126517.35      |
                       |           |   3 |             126523.65      |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).9p  | 2[1/2]    |   0 |             126524.19      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).14d | 2[5/2]*   |   3 |             126530.1       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).16s | 2[3/2]*   |   1 |             126539.6       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).14f | 2[3/2]    |   2 |             126548.6       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).14f | 2[5/2]    |   2 |             126549.0       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).16p | 2[5/2]    |   2 |             126574.9       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).15d | 2[1/2]*   |   1 |             126588.3       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).15d | 2[3/2]*   |   1 |             126612.3       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).17s | 2[3/2]*   |   1 |             126613.9       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).15f | 2[3/2]    |   2 |             126621.4       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).15f | 2[5/2]    |   2 |             126621.4       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).17p | 2[5/2]    |   2 |             126642.4       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).16d | 2[1/2]*   |   1 |             126651.5       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).16d | 2[3/2]*   |   1 |             126672.0       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).18s | 2[3/2]*   |   1 |             126674.4       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).16f | 2[3/2]    |   2 |             126680.5       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).16f | 2[5/2]    |   2 |             126680.5       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).17d | 2[1/2]*   |   1 |             126701.4       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).17d | 2[3/2]*   |   1 |             126720.2       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).19s | 2[3/2]*   |   1 |             126724.5       |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).17f | 2[3/2]    |   2 |             126730.3       |
                       |           |     |                            |
