-----------------------------------------------------------------------------------------------------------------------
 Mult. |         Configurations          |     Terms    |      Ei           Ek      | gi   gk |    Aki    | Acc. |Type|
  No.  |                                 |              |    (cm-1)       (cm-1)    |         |    s^-1   |      |    |
       |                                 |              |                           |         |           |      |    |
-----------------------------------------------------------------------------------------------------------------------
       |                                 |              |  74932.62   -  131735.52  |  4 - 4  | 4.08e+06  | A    |    |
       |                                 |              |  74932.62   -  131724.37  |  4 - 2  | 4.09e+07  | A    |    |
       |                                 |              |  74930.10   -  131735.52  |  6 - 4  | 3.68e+07  | A    |    |
       |                                 |              |                           |         |           |      |    |
    30 |         2s.2p2 - 2p3            |   2D  - 4S*  |  74931.11   -  142027.1   | 10 - 4  | 2.1e+02   |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  74932.62   -  142027.1   |  4 - 4  | 7.3e+00   | C    |    |
       |                                 |              |  74930.10   -  142027.1   |  6 - 4  | 2.02e+02  | C    |    |
       |                                 |              |                           |         |           |      |    |
    31 |                                 |   2D  - 2D*  |  74931.11   -  150463.62  | 10 - 10 | 4.88e+08  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  74932.62   -  150466.69  |  4 - 4  | 4.38e+08  | A    |    |
       |                                 |              |  74930.10   -  150466.69  |  6 - 4  | 4.94e+07  | A    |    |
       |                                 |              |  74932.62   -  150461.58  |  4 - 6  | 3.27e+07  | A    |    |
       |                                 |              |  74930.10   -  150461.58  |  6 - 6  | 4.55e+08  | A    |    |
       |                                 |              |                           |         |           |      |    |
    32 |         2s.2p2 - 2s2.4p         |   2D  - 2P*  |  74931.11   -  162522.34  | 10 - 6  | 1.60e+08  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  74930.10   -  162524.57  |  6 - 4  | 1.44e+08  | B    |    |
       |                                 |              |  74932.62   -  162517.89  |  4 - 2  | 1.60e+08  | B    |    |
       |                                 |              |  74932.62   -  162524.57  |  4 - 4  | 1.60e+07  | B    |    |
       |                                 |              |                           |         |           |      |    |
    33 |         2s.2p2 - 2p3            |   2D  - 2P*  |  74931.11   -  168742.04  | 10 - 6  | 1.45e+09  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  74930.10   -  168748.30  |  6 - 4  | 1.30e+09  | A    |    |
       |                                 |              |  74932.62   -  168729.53  |  4 - 2  | 1.45e+09  | A    |    |
       |                                 |              |  74932.62   -  168748.30  |  4 - 4  | 1.44e+08  | A    |    |
       |                                 |              |                           |         |           |      |    |
    34 |         2s.2p2 - 2s2.4f         |   2D  - 2F*  |  74931.11   -  168978.34  | 10 - 14 | 1.54e+07  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  74930.10   -  168978.34  |  6 - 8  | 1.54e+07  | C+   |    |
       |                                 |              |  74932.62   -  168978.34  |  4 - 6  | 1.44e+07  | C+   |    |
       |                                 |              |  74930.10   -  168978.34  |  6 - 6  | 1.03e+06  | C    |    |
       |                                 |              |                           |         |           |      |    |
    35 |         2s.2p2 - 2s2.5p         |   2D  - 2P*  |  74931.11   -  175292.3   | 10 - 6  | 8.69e+07  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  74930.10   -  175294.75  |  6 - 4  | 7.83e+07  | B    |    |
       |                                 |              |  74932.62   -  175287.39  |  4 - 2  | 8.68e+07  | B    |    |
       |                                 |              |  74932.62   -  175294.75  |  4 - 4  | 8.70e+06  | B    |    |
       |                                 |              |                           |         |           |      |    |
    36 |         2s.2p2 - 2s.2p.(3P*).3s |   2D  - 2P*  |  74931.11   -  177787.22  | 10 - 6  | 3.88e+07  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  74930.10   -  177793.54  |  6 - 4  | 3.49e+07  | B    |    |
       |                                 |              |  74932.62   -  177774.59  |  4 - 2  | 3.87e+07  | B    |    |
       |                                 |              |  74932.62   -  177793.54  |  4 - 4  | 3.88e+06  | C+   |    |
       |                                 |              |                           |         |           |      |    |
    37 |         2s.2p2 - 2s.2p.(3P*).3d |   2D  - 2D*  |  74931.11   -  198431.96  | 10 - 10 | 1.45e+09  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  74930.10   -  198436.31  |  6 - 6  | 1.35e+09  | B    |    |
       |                                 |              |  74932.62   -  198425.43  |  4 - 4  | 1.30e+09  | B    |    |
       |                                 |              |  74930.10   -  198425.43  |  6 - 4  | 1.44e+08  | B    |    |
       |                                 |              |  74932.62   -  198436.31  |  4 - 6  | 9.63e+07  | B    |    |
       |                                 |              |                           |         |           |      |    |
    38 |         2s.2p2 - 2s.2p.(3P*).4d |   2D  - 2D*  |  74931.11   -  220609.32  | 10 - 10 | 6.88e+08  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  74930.10   -  220614.51  |  6 - 6  | 6.42e+08  | B    |    |
       |                                 |              |  74932.62   -  220601.53  |  4 - 4  | 6.19e+08  | B    |    |
       |                                 |              |  74930.10   -  220601.53  |  6 - 4  | 6.88e+07  | B    |    |
       |                                 |              |  74932.62   -  220614.51  |  4 - 6  | 4.59e+07  | B    |    |
       |                                 |              |                           |         |           |      |    |
    39 |         2s.2p2 - 2s2.3p         |   2S  - 2P*  |  96493.74   -  131731.8   |  2 - 6  | 3.30e+07  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  96493.74   -  131724.37  |  2 - 2  | 3.29e+07  | B+   |    |
       |                                 |              |  96493.74   -  131735.52  |  2 - 4  | 3.30e+07  | B+   |    |
       |                                 |              |                           |         |           |      |    |
    40 |         2s.2p2 - 2p3            |   2S  - 4S*  |  96493.74   -  142027.1   |  2 - 4  | 9.7e+00   |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  96493.74   -  142027.1   |  2 - 4  | 9.7e+00   | C    |    |
       |                                 |              |                           |         |           |      |    |
    41 |                                 |   2S  - 2P*  |  96493.74   -  168742.04  |  2 - 6  | 4.01e+07  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  96493.74   -  168748.30  |  2 - 4  | 4.07e+07  | B    |    |
       |                                 |              |  96493.74   -  168729.53  |  2 - 2  | 3.88e+07  | B    |    |
       |                                 |              |                           |         |           |      |    |
    42 |         2s.2p2 - 2s2.5p         |   2S  - 2P*  |  96493.74   -  175292.3   |  2 - 6  | 3.81e+07  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  96493.74   -  175294.75  |  2 - 4  | 3.81e+07  | B    |    |
       |                                 |              |  96493.74   -  175287.39  |  2 - 2  | 3.81e+07  | B    |    |
       |                                 |              |                           |         |           |      |    |
    43 |         2s.2p2 - 2s.2p.(3P*).3s |   2S  - 2P*  |  96493.74   -  177787.22  |  2 - 6  | 1.80e+08  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  96493.74   -  177793.54  |  2 - 4  | 1.80e+08  | B    |    |
       |                                 |              |  96493.74   -  177774.59  |  2 - 2  | 1.80e+08  | B    |    |
       |                                 |              |                           |         |           |      |    |
    44 |         2s.2p2 - 2s2.3p         |   2P  - 2P*  | 110651.76   -  131731.8   |  6 - 6  | 7.19e+04  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              | 110665.56   -  131735.52  |  4 - 4  | 5.98e+04  | B+   |    |
       |                                 |              | 110624.17   -  131724.37  |  2 - 2  | 5.47e+04  | B+   |    |
       |                                 |              | 110665.56   -  131724.37  |  4 - 2  | 2.33e+04  | B+   |    |
       |                                 |              | 110624.17   -  131735.52  |  2 - 4  | 9.05e+03  | B+   |    |
       |                                 |              |                           |         |           |      |    |
    45 |         2s.2p2 - 2p3            |   2P  - 4S*  | 110651.76   -  142027.1   |  6 - 4  | 1.05e+02  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              | 110665.56   -  142027.1   |  4 - 4  | 8.09e+01  | B    |    |
       |                                 |              | 110624.17   -  142027.1   |  2 - 4  | 2.40e+01  | B    |    |
       |                                 |              |                           |         |           |      |    |
    46 |                                 |   2P  - 2D*  | 110651.76   -  150463.62  |  6 - 10 | 5.62e+07  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              | 110665.56   -  150466.69  |  4 - 4  | 9.27e+06  | A    |    |
       |                                 |              | 110665.56   -  150461.58  |  4 - 6  | 5.61e+07  | A    |    |
