---------------------------------------------------------------------------------------------------------------------------------------
 Mult. |               Configurations                |       Terms      |     Ei           Ek       | gi   gk |    Aki    | Acc. |Type|
  No.  |                                             |                  |   (cm-1)       (cm-1)     |         |    s^-1   |      |    |
       |                                             |                  |                           |         |           |      |    |
---------------------------------------------------------------------------------------------------------------------------------------
       |                                             |                  |    16.40   -   87708.21   |  3 - 5  | 6.39e+06  | C+   |    |
       |                                             |                  |    43.40   -   87713.38   |  5 - 7  | 6.29e+06  | C+   |    |
       |                                             |                  |                           |         |           |      |    |
    35 |              2s2.2p2 - 2s2.2p.7s            |     3P  - 3P*    |    29.58   -   87737.3    |  9 - 9  | 1.80e+07  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   87753.73   |  5 - 5  | 1.84e+07  | B    |    |
       |                                             |                  |    16.40   -   87718.56   |  3 - 3  | 1.47e+06  | C+   |    |
       |                                             |                  |    43.40   -   87718.56   |  5 - 3  | 4.17e+06  | C+   |    |
       |                                             |                  |    16.40   -   87711.37   |  3 - 1  | 1.15e+07  | B    |    |
       |                                             |                  |    16.40   -   87753.73   |  3 - 5  | 4.63e+06  | C+   |    |
       |                                             |                  |     0.00   -   87718.56   |  1 - 3  | 6.10e+06  | C+   |    |
       |                                             |                  |                           |         |           |      |    |
    36 |              2s2.2p2 - 2s2.2p.6d            |     3P  - 3D*    |    29.58   -   87767.44   |  9 - 15 | 2.94e+07  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   87777.17   |  5 - 7  | 2.96e+07  | B    |    |
       |                                             |                  |    16.40   -   87773.09   |  3 - 5  | 2.72e+07  | B    |    |
       |                                             |                  |     0.00   -   87735.30   |  1 - 3  | 2.11e+07  | B    |    |
       |                                             |                  |    43.40   -   87773.09   |  5 - 5  | 1.30e+06  | C+   |    |
       |                                             |                  |    16.40   -   87735.30   |  3 - 3  | 9.45e+06  | C+   |    |
       |                                             |                  |    43.40   -   87735.30   |  5 - 3  | 1.09e+05  | C    |    |
       |                                             |                  |                           |         |           |      |    |
    37 |              2s2.2p2 - 2s2.2p.7s            |     3P  - 1P*    |    29.58   -   87789.63   |  9 - 3  | 9.4e+06   |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |     0.00   -   87789.63   |  1 - 3  | 9.3e+05   | C    |    |
       |                                             |                  |    16.40   -   87789.63   |  3 - 3  | 6.24e+06  | C+   |    |
       |                                             |                  |    43.40   -   87789.63   |  5 - 3  | 2.26e+06  | C+   |    |
       |                                             |                  |                           |         |           |      |    |
    38 |              2s2.2p2 - 2s2.2p.6d            |     3P  - 1F*    |    43.4    -   87806.93   |  9 - 7  | 4.31e+06  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   87806.93   |  5 - 7  | 4.31e+06  | C+   |    |
       |                                             |                  |                           |         |           |      |    |
    39 |                                             |     3P  - 1P*    |    29.58   -   87830.17   |  9 - 3  | 2.7e+06   |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |     0.00   -   87830.17   |  1 - 3  | 1.70e+06  | C+   |    |
       |                                             |                  |    16.40   -   87830.17   |  3 - 3  | 9.9e+05   | C    |    |
       |                                             |                  |    43.40   -   87830.17   |  5 - 3  | 3.6e+04   | D    |    |
       |                                             |                  |                           |         |           |      |    |
    40 |                                             |     3P  - 3P*    |    29.58   -   87837.9    |  9 - 9  | 1.84e+07  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   87832.54   |  5 - 5  | 1.60e+07  | B    |    |
       |                                             |                  |    16.40   -   87843.91   |  3 - 3  | 7.31e+06  | C+   |    |
       |                                             |                  |    43.40   -   87843.91   |  5 - 3  | 8.98e+06  | C+   |    |
       |                                             |                  |    16.40   -  [87846.9]   |  3 - 1  | 2.31e+07  | B    |    |
       |                                             |                  |    16.40   -   87832.54   |  3 - 5  | 1.86e+05  | C    |    |
       |                                             |                  |     0.00   -   87843.91   |  1 - 3  | 4.13e+06  | C+   |    |
       |                                             |                  |                           |         |           |      |    |
    41 |              2s2.2p2 - 2s2.2p.7d            |     3P  - 1D*    |    33.28   -   88498.62   |  9 - 5  | 7.81e+05  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    16.40   -   88498.62   |  3 - 5  | 4.77e+05  | C    |    |
       |                                             |                  |    43.40   -   88498.62   |  5 - 5  | 3.04e+05  | C    |    |
       |                                             |                  |                           |         |           |      |    |
    42 |                                             |     3P  - 3F*    |    33.28   -   88543.4    |  9 - 21 | 3.4e+06   |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -  [88541.4]   |  5 - 5  | 4.7e+04   | D    |    |
       |                                             |                  |    16.40   -  [88541.4]   |  3 - 5  | 7.29e+06  | C+   |    |
       |                                             |                  |    43.40   -  [88544.9]   |  5 - 7  | 4.84e+06  | C+   |    |
       |                                             |                  |                           |         |           |      |    |
    43 |              2s2.2p2 - 2s2.2p.8s            |     3P  - 3P*    |    29.58   -   88568.03   |  9 - 9  | 1.0e+07   |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |     0.00   -   88549.06   |  1 - 3  | 3.46e+06  | C+   |    |
       |                                             |                  |    16.40   -   88584.26   |  3 - 5  | 9.9e+05   | C    |    |
       |                                             |                  |    16.40   -   88543.76   |  3 - 1  | 6.41e+06  | C+   |    |
       |                                             |                  |    43.40   -   88549.06   |  5 - 3  | 2.22e+06  | C+   |    |
       |                                             |                  |    16.40   -   88549.06   |  3 - 3  | 7.2e+05   | C    |    |
       |                                             |                  |    43.40   -   88584.26   |  5 - 5  | 1.19e+07  | B    |    |
       |                                             |                  |                           |         |           |      |    |
    44 |              2s2.2p2 - 2s2.2p.7d            |     3P  - 3D*    |    29.58   -   88596.5    |  9 - 15 | 1.7e+07   |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -  [88606.8]   |  5 - 7  | 1.70e+07  | B    |    |
       |                                             |                  |    16.40   -   88604.75   |  3 - 5  | 1.61e+07  | B    |    |
       |                                             |                  |     0.00   -  [88558.6]   |  1 - 3  | 1.35e+07  | B    |    |
       |                                             |                  |    43.40   -   88604.75   |  5 - 5  | 4.97e+05  | C    |    |
       |                                             |                  |    16.40   -  [88558.6]   |  3 - 3  | 4.86e+06  | C+   |    |
       |                                             |                  |    43.40   -  [88558.6]   |  5 - 3  | 4.8e+03   | D    |    |
       |                                             |                  |                           |         |           |      |    |
    45 |              2s2.2p2 - 2s2.2p.8s            |     3P  - 1P*    |    29.58   -   88615.01   |  9 - 3  | 7.2e+06   |      |    |
       |                                             |                  |                           |         |           |      |    |
