# T(SEC)      TMP(K)       H2         H          O          O2         OH         H2O        H2O2       HO2        CH2        CH3        CH4        CO         HCO        CH2O       CH3O       C2H6       N2        
0.46000E-05 0.19951E+04 0.51718E-03 0.17358E-04 0.17877E-04 0.18924E+00 0.52319E-04 0.67078E-03 0.21548E-06 0.16833E-03 0.00000E+00 0.17005E-02 0.92810E-01 0.56461E-05 0.44694E-06 0.41265E-03 0.76782E-05 0.28495E-04 0.71435E+00
0.47000E-05 0.19950E+04 0.53015E-03 0.17543E-04 0.18182E-04 0.18920E+00 0.53569E-04 0.69740E-03 0.22450E-06 0.17527E-03 0.00000E+00 0.17407E-02 0.92744E-01 0.61695E-05 0.47997E-06 0.43349E-03 0.79491E-05 0.30111E-04 0.71434E+00
0.48000E-05 0.19950E+04 0.54323E-03 0.17734E-04 0.18488E-04 0.18917E+00 0.54841E-04 0.72466E-03 0.23366E-06 0.18232E-03 0.00000E+00 0.17810E-02 0.92676E-01 0.67313E-05 0.51492E-06 0.45495E-03 0.82261E-05 0.31777E-04 0.71433E+00
0.49000E-05 0.19949E+04 0.55642E-03 0.17931E-04 0.18795E-04 0.18913E+00 0.56137E-04 0.75257E-03 0.24298E-06 0.18949E-03 0.00000E+00 0.18214E-02 0.92608E-01 0.73336E-05 0.55186E-06 0.47706E-03 0.85094E-05 0.33496E-04 0.71432E+00
0.50000E-05 0.19949E+04 0.56973E-03 0.18134E-04 0.19104E-04 0.18909E+00 0.57455E-04 0.78114E-03 0.25243E-06 0.19678E-03 0.00000E+00 0.18619E-02 0.92539E-01 0.79788E-05 0.59089E-06 0.49983E-03 0.87991E-05 0.35266E-04 0.71431E+00
0.51000E-05 0.19949E+04 0.58316E-03 0.18343E-04 0.19413E-04 0.18905E+00 0.58797E-04 0.81039E-03 0.26203E-06 0.20418E-03 0.00000E+00 0.19026E-02 0.92468E-01 0.86692E-05 0.63210E-06 0.52325E-03 0.90953E-05 0.37089E-04 0.71430E+00
0.52000E-05 0.19948E+04 0.59672E-03 0.18558E-04 0.19724E-04 0.18902E+00 0.60164E-04 0.84032E-03 0.27177E-06 0.21170E-03 0.00000E+00 0.19434E-02 0.92397E-01 0.94074E-05 0.67559E-06 0.54735E-03 0.93982E-05 0.38964E-04 0.71429E+00
0.53000E-05 0.19948E+04 0.61041E-03 0.18780E-04 0.20036E-04 0.18898E+00 0.61554E-04 0.87095E-03 0.28164E-06 0.21933E-03 0.00000E+00 0.19842E-02 0.92325E-01 0.10196E-04 0.72147E-06 0.57213E-03 0.97079E-05 0.40893E-04 0.71428E+00
0.54000E-05 0.19948E+04 0.62423E-03 0.19008E-04 0.20349E-04 0.18894E+00 0.62969E-04 0.90230E-03 0.29164E-06 0.22707E-03 0.00000E+00 0.20253E-02 0.92252E-01 0.11038E-04 0.76983E-06 0.59760E-03 0.10024E-04 0.42874E-04 0.71427E+00
0.55000E-05 0.19948E+04 0.63819E-03 0.19244E-04 0.20664E-04 0.18889E+00 0.64410E-04 0.93438E-03 0.30177E-06 0.23493E-03 0.00000E+00 0.20664E-02 0.92178E-01 0.11935E-04 0.82080E-06 0.62378E-03 0.10348E-04 0.44910E-04 0.71426E+00
0.56000E-05 0.19948E+04 0.65229E-03 0.19486E-04 0.20980E-04 0.18885E+00 0.65876E-04 0.96719E-03 0.31204E-06 0.24289E-03 0.00000E+00 0.21076E-02 0.92103E-01 0.12892E-04 0.87448E-06 0.65067E-03 0.10679E-04 0.47000E-04 0.71425E+00
0.57000E-05 0.19948E+04 0.66653E-03 0.19735E-04 0.21297E-04 0.18881E+00 0.67368E-04 0.10008E-02 0.32243E-06 0.25097E-03 0.00000E+00 0.21490E-02 0.92027E-01 0.13911E-04 0.93099E-06 0.67828E-03 0.11017E-04 0.49143E-04 0.71424E+00
0.58000E-05 0.19948E+04 0.68093E-03 0.19992E-04 0.21616E-04 0.18876E+00 0.68886E-04 0.10351E-02 0.33294E-06 0.25915E-03 0.00000E+00 0.21905E-02 0.91950E-01 0.14995E-04 0.99046E-06 0.70663E-03 0.11362E-04 0.51342E-04 0.71422E+00
0.59000E-05 0.19948E+04 0.69548E-03 0.20256E-04 0.21937E-04 0.18872E+00 0.70431E-04 0.10702E-02 0.34357E-06 0.26744E-03 0.00000E+00 0.22321E-02 0.91871E-01 0.16148E-04 0.10530E-05 0.73572E-03 0.11714E-04 0.53595E-04 0.71421E+00
0.60000E-05 0.19948E+04 0.71020E-03 0.20528E-04 0.22259E-04 0.18867E+00 0.72003E-04 0.11061E-02 0.35432E-06 0.27584E-03 0.00000E+00 0.22739E-02 0.91792E-01 0.17373E-04 0.11188E-05 0.76557E-03 0.12075E-04 0.55904E-04 0.71420E+00
0.61000E-05 0.19948E+04 0.72507E-03 0.20807E-04 0.22583E-04 0.18863E+00 0.73603E-04 0.11429E-02 0.36519E-06 0.28434E-03 0.00000E+00 0.23158E-02 0.91711E-01 0.18674E-04 0.11879E-05 0.79618E-03 0.12443E-04 0.58268E-04 0.71419E+00
0.62000E-05 0.19948E+04 0.74012E-03 0.21095E-04 0.22908E-04 0.18858E+00 0.75230E-04 0.11804E-02 0.37617E-06 0.29295E-03 0.00000E+00 0.23578E-02 0.91630E-01 0.20055E-04 0.12605E-05 0.82757E-03 0.12818E-04 0.60688E-04 0.71418E+00
0.63000E-05 0.19948E+04 0.75534E-03 0.21391E-04 0.23236E-04 0.18853E+00 0.76886E-04 0.12189E-02 0.38726E-06 0.30166E-03 0.00000E+00 0.24000E-02 0.91547E-01 0.21520E-04 0.13368E-05 0.85976E-03 0.13202E-04 0.63163E-04 0.71417E+00
0.64000E-05 0.19949E+04 0.77074E-03 0.21695E-04 0.23565E-04 0.18848E+00 0.78570E-04 0.12581E-02 0.39846E-06 0.31048E-03 0.00000E+00 0.24423E-02 0.91463E-01 0.23073E-04 0.14168E-05 0.89274E-03 0.13594E-04 0.65695E-04 0.71416E+00
0.65000E-05 0.19949E+04 0.78632E-03 0.22007E-04 0.23896E-04 0.18843E+00 0.80283E-04 0.12983E-02 0.40977E-06 0.31940E-03 0.00000E+00 0.24847E-02 0.91378E-01 0.24719E-04 0.15008E-05 0.92653E-03 0.13994E-04 0.68284E-04 0.71414E+00
0.66000E-05 0.19949E+04 0.80210E-03 0.22329E-04 0.24229E-04 0.18838E+00 0.82026E-04 0.13393E-02 0.42118E-06 0.32842E-03 0.00000E+00 0.25273E-02 0.91292E-01 0.26461E-04 0.15889E-05 0.96114E-03 0.14402E-04 0.70928E-04 0.71413E+00
0.67000E-05 0.19950E+04 0.81806E-03 0.22660E-04 0.24564E-04 0.18832E+00 0.83799E-04 0.13813E-02 0.43269E-06 0.33754E-03 0.00000E+00 0.25700E-02 0.91204E-01 0.28305E-04 0.16813E-05 0.99658E-03 0.14819E-04 0.73630E-04 0.71412E+00
0.68000E-05 0.19950E+04 0.83423E-03 0.23000E-04 0.24902E-04 0.18827E+00 0.85602E-04 0.14241E-02 0.44430E-06 0.34677E-03 0.00000E+00 0.26129E-02 0.91115E-01 0.30256E-04 0.17781E-05 0.10329E-02 0.15244E-04 0.76389E-04 0.71411E+00
0.69000E-05 0.19951E+04 0.85061E-03 0.23349E-04 0.25241E-04 0.18821E+00 0.87435E-04 0.14680E-02 0.45601E-06 0.35609E-03 0.00000E+00 0.26559E-02 0.91025E-01 0.32318E-04 0.18796E-05 0.10700E-02 0.15677E-04 0.79205E-04 0.71410E+00
0.70000E-05 0.19951E+04 0.86719E-03 0.23708E-04 0.25583E-04 0.18816E+00 0.89300E-04 0.15128E-02 0.46781E-06 0.36552E-03 0.00000E+00 0.26991E-02 0.90934E-01 0.34498E-04 0.19859E-05 0.11080E-02 0.16120E-04 0.82078E-04 0.71408E+00
0.71000E-05 0.19952E+04 0.88400E-03 0.24078E-04 0.25927E-04 0.18810E+00 0.91196E-04 0.15585E-02 0.47971E-06 0.37504E-03 0.00000E+00 0.27424E-02 0.90841E-01 0.36800E-04 0.20972E-05 0.11469E-02 0.16571E-04 0.85008E-04 0.71407E+00
0.72000E-05 0.19952E+04 0.90102E-03 0.24457E-04 0.26274E-04 0.18804E+00 0.93124E-04 0.16053E-02 0.49169E-06 0.38467E-03 0.00000E+00 0.27859E-02 0.90748E-01 0.39230E-04 0.22137E-05 0.11867E-02 0.17032E-04 0.87997E-04 0.71406E+00
0.73000E-05 0.19953E+04 0.91828E-03 0.24847E-04 0.26623E-04 0.18798E+00 0.95085E-04 0.16531E-02 0.50377E-06 0.39439E-03 0.00000E+00 0.28295E-02 0.90652E-01 0.41794E-04 0.23356E-05 0.12274E-02 0.17502E-04 0.91042E-04 0.71405E+00
0.74000E-05 0.19954E+04 0.93578E-03 0.25248E-04 0.26974E-04 0.18792E+00 0.97078E-04 0.17019E-02 0.51593E-06 0.40421E-03 0.00000E+00 0.28733E-02 0.90556E-01 0.44499E-04 0.24632E-05 0.12690E-02 0.17980E-04 0.94146E-04 0.71403E+00
0.75000E-05 0.19955E+04 0.95351E-03 0.25660E-04 0.27329E-04 0.18786E+00 0.99104E-04 0.17518E-02 0.52817E-06 0.41414E-03 0.00000E+00 0.29173E-02 0.90458E-01 0.47351E-04 0.25966E-05 0.13115E-02 0.18469E-04 0.97307E-04 0.71402E+00
0.76000E-05 0.19956E+04 0.97150E-03 0.26084E-04 0.27686E-04 0.18779E+00 0.10116E-03 0.18027E-02 0.54050E-06 0.42416E-03 0.00000E+00 0.29614E-02 0.90358E-01 0.50357E-04 0.27361E-05 0.13549E-02 0.18967E-04 0.10053E-03 0.71401E+00
0.77000E-05 0.19957E+04 0.98975E-03 0.26519E-04 0.28046E-04 0.18773E+00 0.10326E-03 0.18548E-02 0.55290E-06 0.43427E-03 0.00000E+00 0.30057E-02 0.90257E-01 0.53523E-04 0.28820E-05 0.13993E-02 0.19474E-04 0.10380E-03 0.71399E+00
0.78000E-05 0.19958E+04 0.10083E-02 0.26967E-04 0.28409E-04 0.18766E+00 0.10539E-03 0.19079E-02 0.56538E-06 0.44449E-03 0.00000E+00 0.30502E-02 0.90155E-01 0.56858E-04 0.30343E-05 0.14447E-02 0.19991E-04 0.10714E-03 0.71398E+00
0.79000E-05 0.19959E+04 0.10270E-02 0.27427E-04 0.28775E-04 0.18759E+00 0.10755E-03 0.19622E-02 0.57794E-06 0.45481E-03 0.00000E+00 0.30949E-02 0.90051E-01 0.60367E-04 0.31935E-05 0.14910E-02 0.20519E-04 0.11053E-03 0.71397E+00
0.80000E-05 0.19960E+04 0.10461E-02 0.27899E-04 0.29144E-04 0.18752E+00 0.10975E-03 0.20177E-02 0.59057E-06 0.46522E-03 0.00000E+00 0.31397E-02 0.89946E-01 0.64060E-04 0.33598E-05 0.15383E-02 0.21056E-04 0.11398E-03 0.71395E+00
