# Spectral intensities against wavelength averaged over spatial strips 139 to 141
# Wavel (nm); 	 Intens (W/cm**2-sr-um)
2.456900e+02 	 3.249507e+01
2.459690e+02 	 3.680629e+01
2.462480e+02 	 2.917275e+01
2.465280e+02 	 2.154936e+01
2.468070e+02 	 3.669115e+01
2.470860e+02 	 7.187861e+01
2.473660e+02 	 2.001181e+02
2.476450e+02 	 2.920661e+02
2.479240e+02 	 1.465749e+02
2.482040e+02 	 5.075259e+01
2.484830e+02 	 2.509520e+01
2.487620e+02 	 1.950381e+01
2.490410e+02 	 2.656840e+01
2.493210e+02 	 2.139696e+01
2.496000e+02 	 1.711960e+01
2.498790e+02 	 1.989667e+01
2.501580e+02 	 1.890099e+01
2.504380e+02 	 1.698075e+01
2.507170e+02 	 2.559643e+01
2.509960e+02 	 2.210816e+01
2.512750e+02 	 2.378795e+01
2.515540e+02 	 3.124877e+01
2.518330e+02 	 2.069592e+01
2.521130e+02 	 1.611376e+01
2.523920e+02 	 1.907371e+01
2.526710e+02 	 1.448816e+01
2.529500e+02 	 2.156629e+01
2.532290e+02 	 1.887389e+01
2.535080e+02 	 2.376424e+01
2.537870e+02 	 1.642872e+01
2.540660e+02 	 9.650307e+00
2.543450e+02 	 1.384842e+01
2.546240e+02 	 1.631019e+01
2.549030e+02 	 1.830155e+01
2.551820e+02 	 2.863427e+01
2.554610e+02 	 1.997795e+01
2.557400e+02 	 1.583910e+01
2.560190e+02 	 1.418675e+01
2.562980e+02 	 1.565656e+01
2.565770e+02 	 1.479296e+01
2.568560e+02 	 1.266444e+01
2.571350e+02 	 1.360763e+01
2.574140e+02 	 1.106356e+01
2.576930e+02 	 1.561931e+01
2.579720e+02 	 1.136633e+01
2.582510e+02 	 1.284224e+01
2.585300e+02 	 1.406144e+01
2.588090e+02 	 9.337717e+00
2.590880e+02 	 1.569720e+01
2.593660e+02 	 1.397000e+01
2.596450e+02 	 1.363675e+01
2.599240e+02 	 1.977170e+01
2.602030e+02 	 1.992376e+01
2.604820e+02 	 2.339509e+01
2.607610e+02 	 1.754869e+01
2.610390e+02 	 1.297601e+01
2.613180e+02 	 1.335803e+01
2.615970e+02 	 1.361305e+01
2.618760e+02 	 1.324999e+01
2.621540e+02 	 1.657231e+01
2.624330e+02 	 1.589701e+01
2.627120e+02 	 1.746843e+01
2.629910e+02 	 1.701461e+01
2.632690e+02 	 1.837944e+01
2.635480e+02 	 1.926336e+01
2.638270e+02 	 2.139696e+01
2.641050e+02 	 2.460413e+01
2.643840e+02 	 2.368296e+01
2.646630e+02 	 1.632373e+01
2.649410e+02 	 1.477603e+01
2.652200e+02 	 1.746504e+01
2.654990e+02 	 1.661499e+01
2.657770e+02 	 1.559560e+01
2.660560e+02 	 2.129875e+01
2.663340e+02 	 1.678093e+01
2.666130e+02 	 1.759373e+01
2.668910e+02 	 1.075978e+01
2.671700e+02 	 1.098567e+01
2.674490e+02 	 1.550077e+01
2.677270e+02 	 8.860875e+00
2.680060e+02 	 9.004808e+00
2.682840e+02 	 1.166639e+01
2.685630e+02 	 8.648869e+00
2.688410e+02 	 1.353109e+01
2.691200e+02 	 1.978829e+01
2.693980e+02 	 1.748197e+01
2.696770e+02 	 1.061246e+01
2.699550e+02 	 1.008990e+01
2.702330e+02 	 7.200392e+00
2.705120e+02 	 1.480989e+01
2.707900e+02 	 1.725473e+01
2.710690e+02 	 1.304510e+01
2.713470e+02 	 1.295332e+01
2.716250e+02 	 1.537547e+01
2.719040e+02 	 8.799915e+00
2.721820e+02 	 5.334000e+00
2.724610e+02 	 9.683835e+00
2.727390e+02 	 1.241721e+01
2.730170e+02 	 8.960443e+00
2.732960e+02 	 1.062465e+01
2.735740e+02 	 1.051933e+01
2.738520e+02 	 1.151501e+01
2.741300e+02 	 9.620504e+00
2.744090e+02 	 6.181683e+00
2.746870e+02 	 7.365323e+00
2.749650e+02 	 1.153803e+01
2.752430e+02 	 1.122883e+01
2.755220e+02 	 1.276807e+01
2.758000e+02 	 9.874165e+00
2.760780e+02 	 7.300976e+00
2.763560e+02 	 1.165149e+01
2.766350e+02 	 1.937885e+01
2.769130e+02 	 9.954091e+00
2.771910e+02 	 8.288189e+00
2.774690e+02 	 1.470152e+01
2.777470e+02 	 2.009648e+01
2.780250e+02 	 1.425787e+01
2.783030e+02 	 1.759373e+01
2.785820e+02 	 1.868763e+01
2.788600e+02 	 1.908048e+01
2.791380e+02 	 1.360221e+01
2.794160e+02 	 8.537448e+00
2.796940e+02 	 9.258469e+00
2.799720e+02 	 7.805928e+00
2.802500e+02 	 1.237217e+01
2.805280e+02 	 1.404112e+01
2.808060e+02 	 1.966976e+01
2.810840e+02 	 1.579880e+01
2.813620e+02 	 2.096685e+01
2.816400e+02 	 1.717717e+01
2.819180e+02 	 1.341628e+01
2.821960e+02 	 9.683835e+00
2.824740e+02 	 1.117532e+01
2.827520e+02 	 1.288627e+01
2.830300e+02 	 8.011160e+00
2.833080e+02 	 7.053749e+00
2.835860e+02 	 7.983051e+00
2.838640e+02 	 6.533219e+00
2.841420e+02 	 7.189216e+00
2.844190e+02 	 9.791531e+00
2.846970e+02 	 4.998043e+00
2.849750e+02 	 7.201069e+00
2.852530e+02 	 8.228584e+00
2.855310e+02 	 1.451932e+01
2.858090e+02 	 7.634224e+00
2.860870e+02 	 7.282011e+00
2.863640e+02 	 7.870275e+00
2.866420e+02 	 1.064633e+01
2.869200e+02 	 6.555232e+00
2.871980e+02 	 5.687229e+00
2.874750e+02 	 9.256099e+00
2.877530e+02 	 1.106255e+01
2.880310e+02 	 1.168874e+01
2.883090e+02 	 1.135583e+01
2.885860e+02 	 6.392333e+00
2.888640e+02 	 9.203605e+00
2.891420e+02 	 1.454912e+01
2.894200e+02 	 1.155971e+01
2.896970e+02 	 9.596459e+00
2.899750e+02 	 1.524576e+01
2.902530e+02 	 1.583199e+01
2.905300e+02 	 8.179477e+00
2.908080e+02 	 7.781544e+00
2.910850e+02 	 1.039368e+01
2.913630e+02 	 1.180931e+01
2.916410e+02 	 8.818541e+00
2.919180e+02 	 1.513840e+01
2.921960e+02 	 1.500293e+01
2.924730e+02 	 8.255677e+00
2.927510e+02 	 1.197864e+01
2.930290e+02 	 1.800013e+01
2.933060e+02 	 1.659805e+01
2.935840e+02 	 1.740747e+01
2.938610e+02 	 1.655064e+01
2.941390e+02 	 1.662853e+01
2.944160e+02 	 1.320190e+01
2.946940e+02 	 1.714669e+01
2.949710e+02 	 1.832864e+01
2.952490e+02 	 2.108877e+01
2.955260e+02 	 2.593509e+01
2.958030e+02 	 2.093976e+01
2.960810e+02 	 1.850475e+01
2.963580e+02 	 1.528741e+01
2.966360e+02 	 1.991021e+01
2.969130e+02 	 2.185077e+01
2.971910e+02 	 9.704493e+00
2.974680e+02 	 7.679267e+00
2.977450e+02 	 7.391061e+00
2.980230e+02 	 4.822139e+00
2.983000e+02 	 4.479544e+00
2.985770e+02 	 6.414008e+00
2.988550e+02 	 8.983472e+00
2.991320e+02 	 8.862568e+00
2.994090e+02 	 8.098536e+00
2.996870e+02 	 6.010656e+00
2.999640e+02 	 8.929963e+00
3.002410e+02 	 5.575808e+00
3.005180e+02 	 6.090581e+00
3.007960e+02 	 6.994821e+00
3.010730e+02 	 5.668941e+00
3.013500e+02 	 7.964763e+00
3.016270e+02 	 7.634563e+00
3.019040e+02 	 1.131451e+01
3.021820e+02 	 1.106627e+01
3.024590e+02 	 1.008007e+01
3.027360e+02 	 7.629821e+00
3.030130e+02 	 8.636339e+00
3.032900e+02 	 1.046615e+01
3.035670e+02 	 5.372269e+00
3.038450e+02 	 3.107944e+00
3.041220e+02 	 5.894155e+00
3.043990e+02 	 4.739640e+00
3.046760e+02 	 1.143881e+01
3.049530e+02 	 1.131790e+01
3.052300e+02 	 1.079094e+01
3.055070e+02 	 6.527461e+00
3.057840e+02 	 8.941477e+00
3.060610e+02 	 1.042416e+01
3.063380e+02 	 8.037576e+00
3.066150e+02 	 1.405467e+01
3.068920e+02 	 1.400048e+01
3.071690e+02 	 1.100768e+01
3.074460e+02 	 7.119789e+00
3.077230e+02 	 1.390565e+01
3.080000e+02 	 9.039352e+00
3.082770e+02 	 1.448477e+01
3.085540e+02 	 1.010649e+01
3.088310e+02 	 7.006675e+00
3.091080e+02 	 9.378357e+00
3.093850e+02 	 1.970363e+01
3.096620e+02 	 1.311182e+01
