# Spectral intensities against wavelength averaged over spatial strips 353 to 355
# Wavel (nm); 	 Intens (W/cm**2-sr-um)
6.653720e+02 	 7.482840e+00
6.658160e+02 	 6.784848e+00
6.662600e+02 	 7.521448e+00
6.667050e+02 	 6.374045e+00
6.671490e+02 	 6.828536e+00
6.675930e+02 	 7.041896e+00
6.680370e+02 	 7.612549e+00
6.684810e+02 	 6.425861e+00
6.689250e+02 	 7.077795e+00
6.693690e+02 	 6.542701e+00
6.698130e+02 	 6.078728e+00
6.702580e+02 	 6.430264e+00
6.707020e+02 	 7.098115e+00
6.711460e+02 	 5.859611e+00
6.715900e+02 	 6.480725e+00
6.720340e+02 	 7.040541e+00
6.724780e+02 	 5.959517e+00
6.729220e+02 	 6.680539e+00
6.733660e+02 	 6.579955e+00
6.738100e+02 	 6.281589e+00
6.742540e+02 	 6.631432e+00
6.746980e+02 	 6.593501e+00
6.751420e+02 	 7.035461e+00
6.755870e+02 	 5.734304e+00
6.760310e+02 	 6.008624e+00
6.764750e+02 	 5.980176e+00
6.769190e+02 	 5.832517e+00
6.773630e+02 	 5.785443e+00
6.778070e+02 	 6.706955e+00
6.782510e+02 	 5.638461e+00
6.786950e+02 	 6.051635e+00
6.791390e+02 	 5.738029e+00
6.795830e+02 	 5.326549e+00
6.800270e+02 	 6.249755e+00
6.804710e+02 	 6.500029e+00
6.809150e+02 	 6.035040e+00
6.813590e+02 	 5.588339e+00
6.818030e+02 	 5.376333e+00
6.822470e+02 	 5.853853e+00
6.826910e+02 	 6.442795e+00
6.831350e+02 	 5.722112e+00
6.835790e+02 	 6.187440e+00
6.840220e+02 	 6.267704e+00
6.844660e+02 	 5.766816e+00
6.849100e+02 	 5.984240e+00
6.853540e+02 	 5.413925e+00
6.857980e+02 	 5.775960e+00
6.862420e+02 	 5.700437e+00
6.866860e+02 	 6.649381e+00
6.871300e+02 	 5.810165e+00
6.875740e+02 	 5.986949e+00
6.880180e+02 	 5.975096e+00
6.884620e+02 	 6.919976e+00
6.889060e+02 	 6.246029e+00
6.893490e+02 	 6.782816e+00
6.897930e+02 	 6.472936e+00
6.902370e+02 	 6.801781e+00
6.906810e+02 	 5.695696e+00
6.911250e+02 	 6.588421e+00
6.915690e+02 	 6.389963e+00
6.920130e+02 	 6.728968e+00
6.924570e+02 	 6.338147e+00
6.929000e+02 	 6.395720e+00
6.933440e+02 	 5.556504e+00
6.937880e+02 	 5.886704e+00
6.942320e+02 	 5.693664e+00
6.946760e+02 	 5.445760e+00
6.951200e+02 	 6.046555e+00
6.955630e+02 	 6.209453e+00
6.960070e+02 	 5.508413e+00
6.964510e+02 	 5.698744e+00
6.968950e+02 	 6.588760e+00
6.973390e+02 	 6.918283e+00
6.977820e+02 	 6.636851e+00
6.982260e+02 	 6.917605e+00
6.986700e+02 	 6.398768e+00
6.991140e+02 	 6.593840e+00
6.995570e+02 	 6.313763e+00
7.000010e+02 	 6.336115e+00
7.004450e+02 	 6.018107e+00
7.008890e+02 	 6.142059e+00
7.013320e+02 	 5.797635e+00
7.017760e+02 	 6.255851e+00
7.022200e+02 	 5.704501e+00
7.026640e+02 	 6.737773e+00
7.031070e+02 	 5.577840e+00
7.035510e+02 	 5.734643e+00
